地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/09/22,00:03:12.0,奄美大島近海,28°32.5′N,129°41.7′E,43 km,1.2,---
2025/09/22,00:03:12.5,石川県能登地方,37°14.3′N,136°49.8′E,11 km,0.6,---
2025/09/22,00:04:52.0,兵庫県南東部,34°47.3′N,134°46.0′E,11 km,1.3,---
2025/09/22,00:06:09.9,有明海,32°55.4′N,130°22.2′E,11 km,0.4,---
2025/09/22,00:06:51.0,有明海,32°55.6′N,130°22.0′E,11 km,0.1,---
2025/09/22,00:08:42.7,宮城県沖,37°58.0′N,142°36.7′E,18 km,1.4,---
2025/09/22,00:20:10.4,有明海,32°55.8′N,130°21.7′E,15 km,0.0,---
2025/09/22,00:20:35.7,熊本県天草・芦北地方,32°15.0′N,130°19.6′E,4 km,0.4,---
2025/09/22,00:24:00.4,日高地方東部,42°04.1′N,143°11.5′E,43 km,0.9,---
2025/09/22,00:25:52.9,種子島近海,30°58.7′N,130°21.9′E,129 km,2.6,---
2025/09/22,00:29:36.7,岐阜県飛騨地方,36°21.5′N,137°13.3′E,8 km,0.2,---
2025/09/22,00:31:08.6,和歌山県南部,33°41.1′N,135°54.2′E,33 km,0.0,---
2025/09/22,00:33:56.6,茨城県沖,36°02.5′N,141°34.8′E,21 km,2.3,---
2025/09/22,00:38:13.3,茨城県沖,36°02.4′N,141°35.5′E,18 km,1.3,---
2025/09/22,00:38:21.7,福島県沖,37°49.0′N,141°36.8′E,50 km,1.0,---
2025/09/22,00:41:15.3,熊本県阿蘇地方,32°59.6′N,131°11.4′E,8 km,0.0,---
2025/09/22,00:42:08.9,岐阜県美濃中西部,35°59.6′N,136°47.1′E,7 km,0.5,---
2025/09/22,00:44:43.4,京都府南部,35°16.6′N,135°22.6′E,8 km,0.4,---
2025/09/22,00:45:30.8,山口県北部,34°28.9′N,131°31.2′E,26 km,0.3,---
2025/09/22,00:48:58.9,石川県能登地方,37°11.3′N,136°46.9′E,7 km,1.8,---
2025/09/22,00:51:00.6,留萌地方南部,44°04.1′N,141°52.9′E,9 km,0.5,---
2025/09/22,00:56:27.1,有明海,32°55.5′N,130°22.3′E,12 km,0.7,---
2025/09/22,00:56:51.2,有明海,32°55.3′N,130°22.2′E,8 km,-0.3,---
2025/09/22,00:59:19.7,和歌山県北部,34°03.6′N,135°15.5′E,8 km,-0.4,---
2025/09/22,00:59:52.6,富山県西部,36°49.1′N,136°53.0′E,5 km,0.6,---
2025/09/22,00:59:55.5,トカラ列島近海,29°39.2′N,129°36.7′E,0 km,1.9,---
2025/09/22,01:02:55.0,日向灘,32°10.2′N,131°53.2′E,28 km,0.9,---
2025/09/22,01:03:19.3,宮城県沖,38°01.0′N,141°49.5′E,51 km,0.9,---
2025/09/22,01:04:38.2,奄美大島近海,28°02.5′N,129°16.6′E,29 km,0.7,---
2025/09/22,01:05:10.8,トカラ列島近海,29°39.1′N,129°36.9′E,0 km,1.5,---
2025/09/22,01:07:46.9,福島県沖,37°06.0′N,141°38.7′E,36 km,1.4,---
2025/09/22,01:14:14.2,大阪府北部,34°53.1′N,135°35.9′E,12 km,0.9,---
2025/09/22,01:17:13.0,宮城県沖,38°25.4′N,141°59.2′E,41 km,1.3,---
2025/09/22,01:21:44.4,有明海,32°55.5′N,130°22.0′E,10 km,0.3,---
2025/09/22,01:24:54.2,後志地方西部,42°40.5′N,140°32.2′E,12 km,0.8,---
2025/09/22,01:25:54.9,トカラ列島近海,29°39.1′N,129°36.6′E,0 km,2.4,---
2025/09/22,01:34:44.9,根室半島南東沖,43°04.6′N,145°35.9′E,43 km,1.4,---
2025/09/22,01:41:39.0,奄美大島近海,27°25.0′N,129°30.9′E,32 km,1.4,---
2025/09/22,01:43:10.8,青森県東方沖,41°23.5′N,142°20.9′E,41 km,1.1,---
2025/09/22,01:44:13.8,岩手県沖,39°02.8′N,142°19.8′E,36 km,1.0,---
2025/09/22,01:45:07.5,根室半島南東沖,42°55.3′N,146°20.4′E,24 km,2.7,---
2025/09/22,01:53:16.6,和歌山県北部,34°03.6′N,135°15.9′E,8 km,0.6,---
2025/09/22,01:54:45.4,青森県東方沖,40°53.3′N,142°04.7′E,53 km,1.0,---
2025/09/22,02:04:43.7,岐阜県美濃中西部,35°38.9′N,136°27.0′E,12 km,0.2,---
2025/09/22,02:06:37.6,十勝地方中部,42°56.6′N,143°04.4′E,130 km,0.9,---
2025/09/22,02:06:39.8,台湾付近,23°29.6′N,121°35.2′E,29 km,3.6,---
2025/09/22,02:09:43.8,宮崎県北部平野部,32°31.2′N,131°41.6′E,15 km,0.7,---
2025/09/22,02:11:26.5,日向灘,32°03.5′N,131°50.9′E,25 km,2.5,---
2025/09/22,02:14:18.2,茨城県沖,36°36.1′N,140°58.0′E,47 km,3.8,---
2025/09/22,02:18:32.8,宮城県沖,37°57.6′N,142°37.2′E,18 km,1.7,---
2025/09/22,02:26:39.6,日本海北部,42°30.1′N,138°06.6′E,286 km,不明,---
2025/09/22,02:28:08.2,佐賀県南部,33°02.9′N,130°03.6′E,13 km,0.4,---
2025/09/22,02:28:19.1,岩手県内陸南部,39°04.7′N,140°53.6′E,9 km,1.5,---
2025/09/22,02:47:48.3,茨城県沖,36°40.6′N,141°43.3′E,21 km,1.8,---
2025/09/22,02:50:36.0,伊予灘,33°39.4′N,132°32.6′E,41 km,0.8,---
2025/09/22,02:50:54.8,紀伊水道,34°04.8′N,135°05.2′E,8 km,0.1,---
2025/09/22,02:50:55.7,岩手県内陸北部,40°09.8′N,141°10.9′E,11 km,0.2,---
2025/09/22,02:51:41.8,茨城県沖,36°36.6′N,140°57.2′E,7 km,1.4,---
2025/09/22,02:56:55.8,福島県沖,37°37.5′N,141°37.3′E,58 km,0.4,---
2025/09/22,03:00:37.9,福島県沖,37°36.2′N,141°29.8′E,52 km,2.4,---
2025/09/22,03:03:32.8,北海道南西沖,42°33.2′N,139°12.5′E,11 km,1.5,---
2025/09/22,03:04:01.0,和歌山県北部,34°02.8′N,135°18.5′E,5 km,0.1,---
2025/09/22,03:13:31.6,千葉県北東部,35°50.9′N,140°30.6′E,35 km,0.6,---
2025/09/22,03:16:17.9,福島県沖,37°15.3′N,141°06.6′E,78 km,1.2,---
2025/09/22,03:19:26.2,佐賀県南部,33°02.9′N,130°04.0′E,9 km,1.0,---
2025/09/22,03:20:03.6,佐賀県南部,33°03.0′N,130°03.8′E,10 km,1.0,---
2025/09/22,03:22:42.9,茨城県沖,36°14.9′N,141°10.1′E,32 km,2.5,---
2025/09/22,03:30:58.3,長野県北部,36°29.1′N,137°54.1′E,13 km,-0.3,---
2025/09/22,03:31:55.1,熊本県球磨地方,32°16.7′N,130°45.5′E,10 km,1.3,---
2025/09/22,03:32:05.0,福島県沖,37°23.0′N,141°50.9′E,37 km,0.6,---
2025/09/22,03:34:05.1,伊勢湾,34°55.4′N,136°48.1′E,11 km,0.7,---
2025/09/22,03:34:10.7,福島県沖,37°19.4′N,142°08.2′E,29 km,0.8,---
2025/09/22,03:34:47.9,紀伊水道,33°42.1′N,134°56.1′E,21 km,0.7,---
2025/09/22,03:36:46.8,滋賀県北部,35°25.6′N,136°18.3′E,37 km,1.0,---
2025/09/22,03:37:36.6,宮城県沖,38°41.8′N,142°13.9′E,38 km,0.9,---
2025/09/22,03:41:29.6,宮城県沖,38°42.5′N,142°15.8′E,40 km,1.7,---
2025/09/22,03:49:09.5,奈良県,34°44.1′N,136°03.1′E,10 km,0.7,---
2025/09/22,03:49:41.1,宮城県沖,38°42.7′N,142°15.8′E,40 km,1.6,---
2025/09/22,03:50:55.8,茨城県沖,36°02.5′N,140°51.2′E,41 km,1.1,---
2025/09/22,03:51:57.7,長野県中部,36°14.0′N,138°00.0′E,11 km,-0.5,---
2025/09/22,03:57:53.1,島根県東部,35°19.4′N,133°17.7′E,9 km,0.6,---
2025/09/22,03:57:56.6,茨城県北部,36°45.8′N,140°34.1′E,8 km,-0.2,---
2025/09/22,04:04:38.0,国後島付近,43°23.7′N,145°26.5′E,119 km,1.8,---
2025/09/22,04:05:28.6,福島県沖,37°14.7′N,142°10.7′E,20 km,1.5,---
2025/09/22,04:06:50.5,奄美大島近海,28°28.5′N,129°25.8′E,58 km,0.8,---
2025/09/22,04:12:51.1,岩手県沖,39°42.0′N,142°07.4′E,47 km,0.7,---
2025/09/22,04:17:10.0,岩手県沖,39°31.2′N,142°04.8′E,46 km,不明,---
2025/09/22,04:17:37.3,長野県南部,35°50.9′N,137°34.9′E,6 km,0.0,---
2025/09/22,04:17:42.3,石川県能登地方,37°10.9′N,136°47.6′E,5 km,0.0,---
2025/09/22,04:18:12.5,岩手県沖,39°39.2′N,142°16.0′E,32 km,2.1,---
2025/09/22,04:20:08.6,長野県南部,35°51.7′N,137°32.3′E,5 km,-0.3,---
2025/09/22,04:20:14.4,台湾付近,23°45.1′N,120°56.3′E,23 km,4.2,---
2025/09/22,04:23:38.8,島根県西部,34°58.5′N,132°37.9′E,12 km,0.6,---
2025/09/22,04:24:20.1,茨城県沖,36°28.1′N,141°08.1′E,7 km,不明,---
2025/09/22,04:24:29.7,茨城県沖,36°29.5′N,141°42.8′E,20 km,不明,---
2025/09/22,04:24:46.9,福島県沖,37°49.3′N,141°35.9′E,47 km,1.0,---
2025/09/22,04:25:21.3,千葉県南東沖,34°54.7′N,139°55.1′E,51 km,1.2,---
2025/09/22,04:27:30.7,栃木県南部,36°35.6′N,140°00.2′E,114 km,1.0,---
2025/09/22,04:27:38.0,千葉県南部,35°14.6′N,140°23.4′E,50 km,不明,---
2025/09/22,04:28:20.4,茨城県北部,36°46.6′N,140°34.0′E,8 km,1.1,---
2025/09/22,04:34:38.6,和歌山県北部,34°08.0′N,135°18.1′E,6 km,0.5,---
2025/09/22,04:35:57.4,神奈川県西部,35°33.4′N,139°20.2′E,27 km,不明,---
2025/09/22,04:45:21.1,福島県沖,37°18.7′N,141°59.6′E,28 km,0.8,---
2025/09/22,04:47:09.0,和歌山県北部,34°03.6′N,135°16.0′E,8 km,1.0,---
2025/09/22,04:47:22.5,愛媛県南予,33°30.2′N,132°27.6′E,41 km,0.5,---
2025/09/22,04:47:29.8,トカラ列島近海,29°39.2′N,129°36.9′E,0 km,2.0,---
2025/09/22,04:49:27.7,滋賀県北部,35°23.7′N,135°53.2′E,14 km,0.9,---
2025/09/22,04:50:35.3,北海道南西沖,42°12.9′N,139°12.3′E,9 km,1.7,---
2025/09/22,04:51:44.6,トカラ列島近海,29°39.3′N,129°36.9′E,0 km,1.7,---
2025/09/22,04:53:46.8,トカラ列島近海,29°37.7′N,129°46.0′E,0 km,不明,---
2025/09/22,04:55:17.7,山形県村山地方,38°27.3′N,140°30.5′E,10 km,1.2,---
2025/09/22,04:57:10.4,石川県能登地方,37°30.8′N,137°12.1′E,8 km,1.9,---
2025/09/22,05:01:39.0,福島県沖,37°21.2′N,141°55.8′E,37 km,1.7,---
2025/09/22,05:05:26.3,茨城県南部,36°05.5′N,139°52.6′E,47 km,0.5,---
2025/09/22,05:11:39.0,有明海,32°55.4′N,130°22.5′E,12 km,0.4,---
2025/09/22,05:13:33.1,青森県西方沖,41°20.2′N,139°10.5′E,13 km,不明,---
2025/09/22,05:14:19.3,薩摩半島西方沖,31°17.5′N,129°56.9′E,7 km,1.4,---
2025/09/22,05:28:18.0,大阪湾,34°30.7′N,135°17.4′E,10 km,1.0,---
2025/09/22,05:32:28.5,福島県沖,37°20.8′N,141°44.6′E,41 km,1.5,---
