地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2001/09/17,21:15:07.6,大隅半島東方沖,31°08.3′N,131°22.7′E,31 km,4.1,震度１
2001/09/17,20:39:31.0,青森県東方沖,41°10.1′N,142°15.2′E,54 km,4.1,震度２
2001/09/17,19:39:01.4,新島・神津島近海,34°12.9′N,139°15.2′E,15 km,2.3,震度１
2001/09/17,18:49:20.3,島根県西部,34°56.0′N,132°22.4′E,16 km,3.4,震度２
2001/09/17,18:41:24.1,岩手県沖,39°04.7′N,142°20.6′E,55 km,3.8,震度１
2001/09/17,17:57:56.4,広島県北部,35°02.2′N,132°53.5′E,12 km,3.6,震度２
2001/09/17,11:21:45.3,日向灘,31°45.2′N,131°59.6′E,28 km,4.9,震度２
2001/09/17,01:03:07.2,鳥取県西部,35°17.6′N,133°21.1′E,7 km,1.9,震度１
