地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2007/05/05,20:50:53.6,新潟県上越地方,37°05.9′N,138°27.8′E,15 km,1.9,震度２
2007/05/05,20:39:51.0,新潟県上越地方,37°05.7′N,138°27.6′E,15 km,2.8,震度３
2007/05/05,18:22:26.2,能登半島沖,37°09.6′N,136°40.2′E,11 km,2.9,震度１
2007/05/05,17:43:36.6,能登半島沖,37°15.6′N,136°42.8′E,6 km,3.3,震度２
2007/05/05,17:09:29.8,新潟県上越地方,36°56.5′N,138°10.7′E,0 km,3.3,震度３
2007/05/05,16:51:41.6,父島近海,27°02.0′N,142°11.9′E,48 km,4.8,震度３
2007/05/05,13:26:00.9,石川県西方沖,37°04.5′N,136°26.0′E,0 km,3.5,震度１
2007/05/05,10:25:14.4,京都府南部,35°07.8′N,135°41.5′E,11 km,3.5,震度２
2007/05/05,10:19:31.8,八丈島東方沖,33°08.9′N,140°36.6′E,66 km,3.2,震度１
2007/05/05,01:11:12.9,石川県西方沖,37°04.4′N,136°25.0′E,0 km,4.5,震度２
