地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/12/09,00:00:42.7,青森県東方沖,41°04.5′N,142°12.8′E,50 km,2.1,---
2025/12/09,00:01:13.5,青森県東方沖,40°57.0′N,142°13.1′E,51 km,2.9,---
2025/12/09,00:02:25.7,豊後水道,32°54.2′N,132°12.0′E,35 km,1.4,---
2025/12/09,00:02:31.6,青森県東方沖,41°12.7′N,143°05.9′E,23 km,2.2,---
2025/12/09,00:02:54.5,青森県東方沖,40°59.9′N,142°42.1′E,33 km,3.1,---
2025/12/09,00:03:14.9,千葉県南東沖,34°37.7′N,140°21.9′E,56 km,1.7,---
2025/12/09,00:03:32.8,青森県東方沖,41°02.9′N,142°47.1′E,30 km,3.9,---
2025/12/09,00:05:09.1,青森県東方沖,40°59.0′N,142°23.3′E,45 km,2.0,---
2025/12/09,00:05:31.6,青森県東方沖,41°07.9′N,142°42.1′E,21 km,3.7,---
2025/12/09,00:07:02.1,内浦湾,41°54.8′N,141°03.6′E,9 km,1.9,---
2025/12/09,00:07:07.1,青森県東方沖,40°59.2′N,142°22.5′E,45 km,2.2,---
2025/12/09,00:07:37.6,青森県東方沖,41°06.6′N,143°10.3′E,18 km,3.0,---
2025/12/09,00:07:58.8,青森県東方沖,41°06.9′N,143°05.4′E,24 km,3.1,---
2025/12/09,00:08:15.3,日向灘,31°37.8′N,132°04.6′E,32 km,1.1,---
2025/12/09,00:09:03.2,青森県東方沖,41°11.9′N,142°12.1′E,53 km,2.0,---
2025/12/09,00:09:48.0,青森県東方沖,41°09.4′N,142°28.8′E,45 km,不明,---
2025/12/09,00:09:55.6,青森県東方沖,40°59.5′N,142°41.9′E,37 km,3.9,---
2025/12/09,00:11:35.6,青森県東方沖,41°03.5′N,142°31.4′E,39 km,1.9,---
2025/12/09,00:12:05.0,青森県東方沖,40°52.3′N,142°56.4′E,21 km,2.9,---
2025/12/09,00:12:58.3,青森県東方沖,41°03.9′N,143°01.9′E,22 km,2.3,---
2025/12/09,00:13:44.5,青森県東方沖,40°53.9′N,143°06.7′E,12 km,2.3,---
2025/12/09,00:13:56.1,青森県東方沖,41°07.0′N,142°38.5′E,36 km,2.3,---
2025/12/09,00:14:19.2,青森県東方沖,41°04.7′N,142°28.5′E,41 km,2.5,---
2025/12/09,00:14:47.0,青森県東方沖,41°02.4′N,142°19.3′E,47 km,1.8,---
2025/12/09,00:15:17.9,青森県東方沖,41°05.4′N,143°16.5′E,17 km,1.6,---
2025/12/09,00:15:45.3,小笠原諸島西方沖,28°08.7′N,139°18.5′E,547 km,4.0,---
2025/12/09,00:15:55.5,青森県東方沖,41°03.4′N,143°07.8′E,23 km,2.1,---
2025/12/09,00:16:30.8,青森県東方沖,41°02.2′N,142°20.7′E,47 km,1.5,---
2025/12/09,00:17:06.7,青森県東方沖,41°02.9′N,142°29.2′E,42 km,2.3,---
2025/12/09,00:17:24.0,青森県東方沖,41°02.6′N,143°00.1′E,23 km,2.8,---
2025/12/09,00:18:25.9,青森県東方沖,41°02.5′N,142°53.9′E,27 km,2.2,---
2025/12/09,00:18:48.7,青森県東方沖,41°03.1′N,142°52.2′E,28 km,2.4,---
2025/12/09,00:19:49.5,青森県東方沖,40°58.3′N,143°07.5′E,21 km,2.7,---
2025/12/09,00:21:01.9,青森県東方沖,41°02.7′N,142°28.9′E,41 km,2.2,---
2025/12/09,00:21:42.4,青森県東方沖,41°10.8′N,143°07.5′E,26 km,不明,---
2025/12/09,00:21:51.4,青森県東方沖,40°50.6′N,143°00.2′E,17 km,2.7,---
2025/12/09,00:22:05.2,青森県東方沖,41°08.6′N,143°06.9′E,19 km,3.5,---
2025/12/09,00:23:37.8,青森県東方沖,41°04.0′N,142°28.5′E,43 km,2.8,---
2025/12/09,00:24:29.7,滋賀県北部,35°21.0′N,136°11.4′E,10 km,0.9,---
2025/12/09,00:25:02.4,青森県東方沖,41°09.2′N,143°13.8′E,20 km,2.2,---
2025/12/09,00:25:22.0,青森県東方沖,41°08.9′N,142°15.5′E,51 km,3.5,---
2025/12/09,00:27:24.2,青森県東方沖,41°05.4′N,142°50.3′E,28 km,2.1,---
2025/12/09,00:27:46.4,青森県東方沖,40°56.7′N,142°49.3′E,29 km,2.1,---
2025/12/09,00:28:08.5,石川県西方沖,37°04.1′N,136°23.3′E,9 km,1.4,---
2025/12/09,00:29:15.0,宮崎県北部平野部,32°45.8′N,131°44.9′E,7 km,0.0,---
2025/12/09,00:30:12.9,福島県沖,37°19.2′N,141°48.6′E,43 km,1.1,---
2025/12/09,00:30:15.7,青森県東方沖,41°12.5′N,142°19.4′E,48 km,1.2,---
2025/12/09,00:30:37.7,青森県東方沖,40°57.3′N,142°56.5′E,23 km,不明,---
2025/12/09,00:30:46.7,青森県東方沖,40°54.2′N,143°05.5′E,15 km,3.1,---
2025/12/09,00:31:13.6,青森県東方沖,41°05.3′N,142°29.4′E,43 km,2.8,---
2025/12/09,00:32:49.0,青森県東方沖,41°05.6′N,143°04.2′E,23 km,3.0,---
2025/12/09,00:34:36.5,青森県東方沖,41°01.4′N,142°05.9′E,53 km,1.5,---
2025/12/09,00:34:54.3,青森県東方沖,41°08.9′N,142°38.5′E,37 km,2.4,---
2025/12/09,00:35:48.6,青森県東方沖,41°03.8′N,142°25.6′E,44 km,1.9,---
2025/12/09,00:36:51.0,青森県東方沖,41°15.0′N,142°30.4′E,45 km,2.6,---
2025/12/09,00:37:05.3,青森県東方沖,41°02.5′N,143°14.2′E,16 km,2.9,---
2025/12/09,00:38:18.1,青森県東方沖,40°53.3′N,143°01.5′E,16 km,2.7,---
2025/12/09,00:39:02.7,青森県東方沖,41°12.8′N,143°11.1′E,17 km,2.9,---
2025/12/09,00:39:36.2,熊本県阿蘇地方,32°59.0′N,131°07.7′E,7 km,1.0,---
2025/12/09,00:40:20.1,青森県東方沖,41°06.3′N,143°01.9′E,23 km,2.8,---
2025/12/09,00:41:33.1,青森県東方沖,40°57.9′N,143°06.9′E,22 km,2.0,---
2025/12/09,00:41:53.8,青森県東方沖,41°02.3′N,142°13.3′E,52 km,1.8,---
2025/12/09,00:43:02.0,青森県東方沖,40°59.3′N,142°47.5′E,30 km,1.9,---
2025/12/09,00:43:34.8,青森県東方沖,41°05.9′N,143°15.0′E,14 km,2.3,---
2025/12/09,00:44:37.4,青森県東方沖,40°55.4′N,142°13.1′E,51 km,1.8,---
2025/12/09,00:44:48.6,三陸沖,38°24.8′N,144°19.3′E,23 km,1.6,---
