地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度１
1944年03月,日時分不明データ,不明,不明,不明,不明,震度２
1944年03月,日時分不明データ,不明,不明,不明,不明,震度２
1944年03月,日時分不明データ,不明,不明,不明,不明,震度２
1944年03月,日時分不明データ,不明,不明,不明,不明,震度２
1944年03月,日時分不明データ,不明,不明,不明,不明,震度３
1944/03/31,00:34:21.5,長野県北部,36°51.8′N,138°15.1′E,22 km,不明,震度１
