地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2026/08/30,00:01:11.0,熊本県天草・芦北地方,32°37.6′N,130°37.8′E,12 km,不明,---
2026/08/30,00:02:57.0,薩摩半島西方沖,31°04.3′N,130°37.3′E,8 km,0.7,---
2026/08/30,00:04:54.0,山口県中部,34°24.1′N,131°36.2′E,31 km,不明,---
2026/08/30,00:05:31.8,五島列島近海,32°34.9′N,129°01.4′E,6 km,不明,---
2026/08/30,00:07:52.3,熊本県熊本地方,32°29.4′N,130°40.3′E,13 km,1.8,---
2026/08/30,00:11:04.7,熊本県天草・芦北地方,32°28.7′N,130°31.1′E,10 km,0.9,---
2026/08/30,00:11:17.2,東京湾,35°37.3′N,140°00.5′E,71 km,0.9,---
2026/08/30,00:14:57.4,熊本県熊本地方,32°33.8′N,130°41.6′E,4 km,0.3,---
2026/08/30,00:16:38.8,熊本県熊本地方,32°41.2′N,130°42.1′E,17 km,0.2,---
2026/08/30,00:17:05.8,千葉県東方沖,35°48.9′N,140°52.7′E,33 km,4.8,---
2026/08/30,00:18:18.4,熊本県熊本地方,32°34.1′N,130°41.5′E,3 km,0.6,---
2026/08/30,00:25:33.9,熊本県熊本地方,32°30.9′N,130°39.3′E,14 km,0.5,---
2026/08/30,00:28:12.3,三陸沖,37°57.1′N,144°23.8′E,17 km,1.7,---
2026/08/30,00:30:03.0,熊本県天草・芦北地方,32°29.3′N,130°32.1′E,11 km,1.7,---
2026/08/30,00:31:12.6,三陸沖,37°57.2′N,144°23.4′E,17 km,1.5,---
2026/08/30,00:31:31.9,三陸沖,40°32.8′N,145°04.2′E,13 km,2.1,---
2026/08/30,00:31:52.1,福島県沖,36°55.1′N,142°01.7′E,22 km,不明,---
2026/08/30,00:32:23.5,福島県沖,37°27.6′N,142°13.5′E,25 km,1.5,---
2026/08/30,00:33:24.7,和歌山県北部,34°05.9′N,135°10.2′E,5 km,-0.1,---
2026/08/30,00:33:39.8,鹿児島湾,31°27.1′N,130°34.3′E,120 km,0.9,---
2026/08/30,00:34:51.2,山口県中部,34°24.3′N,131°35.7′E,32 km,不明,---
2026/08/30,00:35:10.0,神奈川県西部,35°20.0′N,139°04.6′E,17 km,0.3,---
2026/08/30,00:37:37.6,三陸沖,40°32.4′N,145°05.3′E,11 km,1.8,---
2026/08/30,00:37:37.7,山口県中部,34°23.9′N,131°35.6′E,31 km,不明,---
2026/08/30,00:40:16.7,三陸沖,40°33.3′N,145°02.3′E,16 km,1.5,---
2026/08/30,00:40:45.0,熊本県熊本地方,32°32.7′N,130°37.1′E,12 km,0.0,---
2026/08/30,00:41:30.0,岩手県沖,40°21.6′N,142°25.8′E,21 km,1.2,---
2026/08/30,00:43:58.7,熊本県天草・芦北地方,32°24.9′N,130°28.8′E,0 km,0.0,---
2026/08/30,00:44:04.5,岩手県沿岸北部,39°58.3′N,141°55.4′E,51 km,不明,---
2026/08/30,00:44:09.8,津軽海峡,41°15.4′N,140°33.3′E,144 km,不明,---
2026/08/30,00:44:14.5,熊本県天草・芦北地方,32°23.8′N,130°27.9′E,11 km,0.5,---
2026/08/30,00:47:31.7,熊本県熊本地方,32°34.1′N,130°38.1′E,10 km,0.5,---
