地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2020/02/24,18:36:37.8,青森県東方沖,41°32.9′N,142°04.6′E,65 km,3.3,震度１
2020/02/24,15:29:37.6,父島近海,27°18.1′N,142°26.3′E,27 km,3.9,震度１
2020/02/24,07:29:34.5,岩手県沖,39°19.6′N,142°24.0′E,47 km,3.9,震度１
2020/02/24,06:19:43.0,津軽海峡,41°35.8′N,140°45.4′E,11 km,3.3,震度２
2020/02/24,03:56:24.7,トカラ列島近海,29°34.8′N,129°39.0′E,8 km,1.7,震度１
2020/02/24,03:25:27.2,トカラ列島近海,29°35.3′N,129°38.1′E,10 km,2.1,震度２
2020/02/24,02:29:20.0,房総半島南方沖,33°55.8′N,140°30.4′E,58 km,4.4,震度１
2020/02/24,02:18:06.7,トカラ列島近海,29°35.2′N,129°40.6′E,5 km,1.6,震度１
2020/02/24,02:16:49.8,トカラ列島近海,29°35.2′N,129°38.3′E,9 km,1.8,震度１
2020/02/24,00:07:03.7,長野県北部,36°37.5′N,138°21.8′E,0 km,2.7,震度１
