地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2011/03/12,23:56:40.4,岩手県沖,39°16.7′N,142°17.8′E,46 km,4.4,震度２
2011/03/12,23:54:36.5,長野県北部,36°57.6′N,138°34.2′E,5 km,2.3,震度３
2011/03/12,23:51:54.2,長野県北部,36°57.7′N,138°34.1′E,4 km,2.4,震度３
2011/03/12,23:49:14.9,長野県北部,36°58.0′N,138°35.8′E,6 km,2.3,震度２
2011/03/12,23:47:59.2,長野県北部,36°57.4′N,138°33.8′E,6 km,2.2,震度２
2011/03/12,23:43:05.9,岩手県沖,39°28.2′N,142°41.7′E,9 km,5.9,震度４
2011/03/12,23:42:31.2,栃木県北部,36°48.8′N,139°26.4′E,4 km,2.0,震度１
2011/03/12,23:38:55.3,長野県北部,36°57.8′N,138°34.2′E,6 km,2.1,震度１
2011/03/12,23:37:46.3,伊豆大島近海,34°44.5′N,139°19.4′E,8 km,2.9,震度１
2011/03/12,23:34:58.3,茨城県沖,35°52.9′N,141°50.0′E,22 km,5.6,震度３
2011/03/12,23:34:58.7,長野県北部,36°58.0′N,138°34.0′E,5 km,3.7,震度５弱
2011/03/12,23:33:40.4,茨城県沖,36°07.4′N,141°11.7′E,25 km,3.8,震度１
2011/03/12,23:30:19.6,岩手県沖,39°06.6′N,142°23.1′E,18 km,3.5,震度１
2011/03/12,23:29:18.2,福島県浜通り,37°10.7′N,140°58.8′E,10 km,2.9,震度１
2011/03/12,23:25:05.5,相模湾,35°15.7′N,139°13.8′E,10 km,2.6,震度１
2011/03/12,23:21:50.4,岩手県沖,39°26.7′N,142°50.1′E,19 km,4.8,震度２
2011/03/12,23:18:05.3,福島県沖,37°36.3′N,141°41.8′E,43 km,4.1,震度１
2011/03/12,23:17:05.0,茨城県沖,36°18.2′N,141°03.3′E,42 km,4.4,震度２
2011/03/12,23:15:43.2,千葉県東方沖,35°49.0′N,140°53.3′E,21 km,3.2,震度１
2011/03/12,23:15:04.6,福島県沖,37°12.6′N,141°24.0′E,39 km,4.1,震度１
2011/03/12,23:14:51.6,茨城県沖,35°53.8′N,140°56.4′E,11 km,5.0,震度３
2011/03/12,23:12:23.0,福島県沖,37°12.7′N,141°23.6′E,36 km,4.1,震度２
2011/03/12,23:10:43.4,茨城県沖,35°53.9′N,140°56.5′E,9 km,4.2,震度２
2011/03/12,23:07:20.5,新潟県中越地方,37°01.3′N,138°40.7′E,13 km,2.6,震度１
2011/03/12,23:06:03.0,福島県沖,36°39.0′N,142°01.8′E,14 km,4.6,震度１
2011/03/12,23:03:26.8,宮城県沖,38°47.0′N,142°44.5′E,7 km,5.8,震度３
2011/03/12,22:58:32.7,茨城県沖,36°32.9′N,140°49.7′E,28 km,4.2,震度２
2011/03/12,22:57:11.0,茨城県沖,36°25.5′N,141°53.3′E,27 km,5.0,震度２
2011/03/12,22:53:26.0,福島県沖,36°58.7′N,142°25.9′E,5 km,4.3,震度１
2011/03/12,22:52:17.0,福島県浜通り,37°18.8′N,140°56.0′E,19 km,3.4,震度１
2011/03/12,22:51:13.5,福島県沖,36°58.5′N,141°38.5′E,19 km,4.0,震度２
2011/03/12,22:49:40.1,福島県沖,37°04.3′N,141°46.3′E,22 km,4.1,震度１
2011/03/12,22:49:01.6,千葉県東方沖,35°21.5′N,141°13.5′E,22 km,4.2,震度１
2011/03/12,22:44:29.8,福島県浜通り,37°10.9′N,140°58.5′E,7 km,3.7,震度２
2011/03/12,22:40:56.7,千葉県東方沖,35°48.8′N,141°05.6′E,34 km,4.5,震度２
2011/03/12,22:37:05.5,福島県沖,37°14.6′N,141°10.5′E,29 km,3.0,震度１
2011/03/12,22:35:03.6,福島県沖,36°53.5′N,141°04.2′E,28 km,3.4,震度１
2011/03/12,22:30:17.8,福島県沖,37°43.2′N,143°25.8′E,43 km,4.8,震度１
2011/03/12,22:27:13.3,長野県北部,36°55.0′N,138°33.3′E,0 km,3.6,震度３
2011/03/12,22:27:01.0,福島県沖,37°12.3′N,141°22.6′E,39 km,3.7,震度１
2011/03/12,22:26:54.1,岩手県沖,39°31.6′N,142°37.8′E,7 km,5.4,震度２
2011/03/12,22:26:11.3,福島県沖,37°14.2′N,141°10.6′E,30 km,3.0,震度１
2011/03/12,22:25:02.5,福島県沖,37°13.8′N,141°01.5′E,23 km,4.4,震度２
2011/03/12,22:24:13.9,宮城県沖,38°57.7′N,142°28.0′E,30 km,5.0,震度３
2011/03/12,22:23:04.6,茨城県沖,36°01.9′N,141°03.4′E,36 km,4.3,震度２
2011/03/12,22:22:42.5,富山県東部,36°33.7′N,137°35.9′E,1 km,3.5,震度２
2011/03/12,22:20:39.9,福島県沖,37°13.8′N,141°23.5′E,41 km,4.4,震度２
2011/03/12,22:15:41.7,福島県沖,37°11.8′N,141°25.5′E,40 km,6.2,震度５弱
2011/03/12,22:14:27.5,千葉県東方沖,35°44.5′N,141°01.0′E,35 km,4.6,震度３
2011/03/12,22:11:02.8,三重県南東沖,33°01.2′N,136°41.0′E,51 km,4.3,震度１
2011/03/12,22:05:49.1,長野県北部,36°58.3′N,138°35.7′E,6 km,2.6,震度３
2011/03/12,21:53:55.3,福島県沖,37°45.5′N,142°45.3′E,2 km,5.9,震度３
2011/03/12,21:51:55.5,三陸沖,39°14.8′N,142°54.6′E,21 km,4.8,震度２
2011/03/12,21:50:26.9,福島県沖,37°36.4′N,143°46.8′E,40 km,4.8,震度１
2011/03/12,21:45:55.8,福島県沖,37°12.8′N,141°05.0′E,26 km,3.3,震度１
2011/03/12,21:45:42.2,岩手県沖,39°13.0′N,142°23.3′E,13 km,4.0,震度１
2011/03/12,21:34:33.1,福島県沖,37°13.7′N,141°09.3′E,49 km,3.9,震度３
2011/03/12,21:29:39.0,茨城県沖,36°18.8′N,140°50.2′E,32 km,3.5,震度１
2011/03/12,21:25:04.2,栃木県北部,36°48.1′N,139°28.7′E,5 km,2.7,震度１
2011/03/12,21:18:43.0,茨城県沖,36°40.2′N,141°46.8′E,18 km,4.7,震度１
2011/03/12,21:17:22.9,福島県沖,37°13.4′N,142°28.6′E,18 km,4.8,震度２
2011/03/12,21:15:26.0,岩手県沖,39°34.4′N,142°48.6′E,5 km,4.9,震度２
2011/03/12,21:12:19.6,茨城県北部,36°46.6′N,140°37.0′E,10 km,3.2,震度１
2011/03/12,21:06:44.7,三陸沖,39°44.0′N,143°26.6′E,0 km,4.7,震度１
2011/03/12,21:04:26.6,岩手県沖,39°05.9′N,142°27.3′E,23 km,4.4,震度２
