地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2026/03/01,06:39:28.8,宮古島近海,25°15.7′N,124°57.4′E,9 km,5.0,震度２
2026/03/01,06:41:56.8,宮古島近海,25°12.8′N,124°56.5′E,11 km,5.0,震度２
2026/03/01,07:29:18.3,秋田県内陸北部,40°15.6′N,140°50.6′E,7 km,3.1,震度１
2026/03/01,09:35:08.0,宮崎県南部平野部,31°28.6′N,131°20.4′E,49 km,4.0,震度２
2026/03/01,12:41:08.2,熊本県阿蘇地方,33°04.0′N,131°11.2′E,5 km,3.4,震度２
2026/03/01,14:16:16.9,伊豆大島近海,34°33.8′N,139°26.0′E,13 km,2.8,震度１
2026/03/01,18:00:08.5,薩摩半島西方沖,31°07.1′N,130°33.7′E,124 km,5.4,震度３
2026/03/01,21:32:56.0,岩手県沿岸南部,39°09.8′N,141°43.3′E,99 km,3.3,震度１
2026/03/01,23:09:11.0,宮城県沖,38°51.5′N,142°06.5′E,44 km,3.7,震度１
