地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/04/12,00:02,06.6,兵庫県南西部,34°58.5′N,134°31.9′E,14 km,-0.1,---
2025/04/12,00:03:12.1,青森県東方沖,41°09.6′N,143°15.1′E,13 km,1.6,---
2025/04/12,00:04:27.8,日向灘,32°35.4′N,132°08.3′E,15 km,0.8,---
2025/04/12,00:05:16.6,和歌山県北部,33°57.1′N,135°26.3′E,53 km,0.2,---
2025/04/12,00:05:57.5,茨城県北部,36°48.8′N,140°35.3′E,8 km,0.9,---
2025/04/12,00:06,03.1,能登半島沖,37°33.3′N,137°12.8′E,10 km,0.3,---
2025/04/12,00:06:54.5,有明海,32°47.1′N,130°31.2′E,9 km,0.0,---
2025/04/12,00:10:39.7,西表島付近,24°06.8′N,123°45.8′E,19 km,0.7,---
2025/04/12,00:11,07.1,神奈川県西部,35°25.2′N,139°09.5′E,12 km,0.1,---
2025/04/12,00:13:59.6,奄美大島北東沖,29°07.3′N,130°35.4′E,26 km,1.8,---
2025/04/12,00:16:21.6,福島県沖,37°28.2′N,142°21.1′E,15 km,1.1,---
2025/04/12,00:17:23.0,石川県能登地方,37°25.6′N,137°15.8′E,13 km,1.6,---
2025/04/12,00:19:41.2,山口県北部,34°28.8′N,131°36.4′E,26 km,0.1,---
2025/04/12,00:24:57.0,石垣島北西沖,25°04.1′N,123°30.5′E,107 km,1.2,---
2025/04/12,00:28,01.4,福島県沖,37°43.8′N,142°22.2′E,27 km,1.3,---
2025/04/12,00:29:21.8,土佐湾,33°14.3′N,133°41.3′E,29 km,0.7,---
2025/04/12,00:31:25.5,長野県中部,36°05.0′N,137°37.3′E,4 km,0.3,---
2025/04/12,00:31:35.2,石川県能登地方,37°11.3′N,136°52.7′E,9 km,0.9,---
2025/04/12,00:36:11.0,愛媛県南予,33°02.1′N,132°30.4′E,13 km,0.6,---
2025/04/12,00:36:25.9,京都府南部,34°57.0′N,135°33.6′E,11 km,-0.3,---
2025/04/12,00:36:48.7,和歌山県北部,34°11.9′N,135°17.7′E,5 km,-0.2,---
2025/04/12,00:37:37.0,三陸沖,39°06.2′N,143°14.1′E,42 km,1.5,---
2025/04/12,00:38,03.4,奄美大島北東沖,29°34.3′N,130°37.7′E,15 km,1.5,---
2025/04/12,00:38,06.1,奄美大島北東沖,29°09.0′N,130°34.4′E,38 km,不明,---
2025/04/12,00:39:36.4,兵庫県南東部,34°54.1′N,135°23.7′E,6 km,0.3,---
2025/04/12,00:41:30.5,青森県津軽南部,40°32.8′N,140°20.1′E,182 km,1.9,---
2025/04/12,00:41:33.2,能登半島沖,37°32.9′N,137°15.7′E,11 km,0.0,---
2025/04/12,00:42:35.6,紀伊水道,33°46.3′N,135°08.3′E,41 km,0.4,---
2025/04/12,00:47,00.4,沖縄本島近海,27°15.5′N,128°57.0′E,19 km,1.2,---
2025/04/12,00:47:26.0,宮城県沖,38°46.1′N,141°43.7′E,53 km,0.7,---
2025/04/12,00:47:33.7,岐阜県飛騨地方,36°05.3′N,137°18.6′E,10 km,-0.5,---
2025/04/12,00:48:18.8,石川県西方沖,36°57.1′N,136°25.5′E,9 km,0.9,---
2025/04/12,00:50:18.0,有明海,32°55.4′N,130°21.8′E,11 km,0.4,---
2025/04/12,00:51:48.9,福島県沖,37°24.3′N,141°46.1′E,44 km,0.9,---
2025/04/12,00:53,05.4,福島県沖,37°07.9′N,141°03.8′E,49 km,0.7,---
2025/04/12,00:53:32.2,長野県南部,35°56.6′N,137°37.7′E,8 km,0.1,---
2025/04/12,00:55,09.6,奄美大島北東沖,29°13.0′N,130°26.1′E,74 km,1.7,---
2025/04/12,00:55:48.7,茨城県沖,36°28.3′N,141°36.3′E,25 km,1.7,---
2025/04/12,00:56:42.9,熊本県天草・芦北地方,32°09.6′N,130°26.0′E,9 km,0.1,---
2025/04/12,01:00:37.2,西表島付近,24°16.7′N,123°56.0′E,45 km,0.4,---
2025/04/12,01:01:44.5,岩手県沖,39°38.9′N,142°30.0′E,35 km,1.8,---
2025/04/12,01:02,07.5,三陸沖,40°50.3′N,145°32.7′E,14 km,2.1,---
2025/04/12,01:04,07.9,岩手県沖,39°38.6′N,142°30.5′E,36 km,1.1,---
2025/04/12,01:04:16.0,北海道東方沖,43°51.4′N,147°40.8′E,0 km,2.7,---
2025/04/12,01:05:21.4,奄美大島近海,28°28.0′N,129°44.8′E,18 km,不明,---
2025/04/12,01:06:26.6,宮城県沖,38°58.5′N,142°15.4′E,29 km,2.1,---
2025/04/12,01:11:16.6,和歌山県北部,33°51.5′N,135°20.7′E,48 km,0.8,---
2025/04/12,01:12:23.8,島根県東部,35°18.4′N,133°18.8′E,7 km,0.8,---
2025/04/12,01:15:52.0,宮城県沖,37°59.2′N,141°40.7′E,48 km,0.9,---
2025/04/12,01:18,03.2,兵庫県南西部,34°49.4′N,134°43.9′E,8 km,0.4,---
2025/04/12,01:18:25.9,能登半島沖,37°07.6′N,136°40.2′E,10 km,0.6,---
2025/04/12,01:21:55.7,北海道南西沖,41°43.6′N,139°24.2′E,15 km,2.7,---
2025/04/12,01:22:52.7,能登半島沖,37°34.1′N,137°14.0′E,12 km,-0.1,---
2025/04/12,01:29,08.4,国後島付近,43°54.7′N,145°58.2′E,99 km,1.5,---
2025/04/12,01:31:25.2,奄美大島近海,28°03.7′N,130°21.6′E,38 km,不明,---
2025/04/12,01:33:18.9,宮崎県南部山沿い,32°02.8′N,130°57.5′E,9 km,-0.2,---
2025/04/12,01:33:26.4,津軽海峡,41°37.4′N,141°13.9′E,107 km,1.5,---
2025/04/12,01:34:41.3,奄美大島北東沖,29°15.0′N,130°22.1′E,88 km,1.6,---
2025/04/12,01:38:36.7,有明海,32°47.1′N,130°31.7′E,11 km,0.0,---
2025/04/12,01:39:40.2,青森県津軽南部,40°34.2′N,140°20.2′E,6 km,0.1,---
2025/04/12,01:42:23.5,熊本県阿蘇地方,33°03.8′N,131°10.4′E,6 km,0.1,---
2025/04/12,01:46:16.1,奄美大島北東沖,29°16.7′N,130°24.2′E,76 km,1.7,---
2025/04/12,01:46:42.1,釧路沖,42°40.5′N,145°20.1′E,29 km,1.5,---
2025/04/12,01:47:33.6,石川県能登地方,37°10.6′N,136°47.8′E,7 km,0.5,---
2025/04/12,01:48:44.2,石川県西方沖,36°55.6′N,136°21.6′E,7 km,0.7,---
2025/04/12,01:48:51.6,青森県東方沖,41°09.5′N,143°14.1′E,14 km,1.3,---
2025/04/12,01:49:36.5,熊本県熊本地方,32°40.5′N,130°43.9′E,14 km,0.1,---
2025/04/12,01:51:44.5,福岡県筑後地方,33°04.5′N,130°29.2′E,13 km,0.1,---
2025/04/12,01:51:54.9,宮城県沖,38°31.3′N,142°02.3′E,81 km,0.9,---
2025/04/12,01:51:58.4,広島県南東部,34°39.1′N,133°22.6′E,19 km,0.5,---
2025/04/12,01:52:34.1,茨城県北部,36°47.2′N,140°34.0′E,8 km,0.7,---
2025/04/12,01:55:56.6,石川県能登地方,37°12.4′N,136°48.4′E,11 km,0.5,---
2025/04/12,01:55:58.4,福井県嶺北,36°03.5′N,136°23.4′E,7 km,0.9,---
2025/04/12,01:56:39.8,石川県能登地方,37°10.5′N,136°47.6′E,8 km,0.5,---
2025/04/12,01:58:56.2,福島県沖,37°23.8′N,141°42.4′E,46 km,1.3,---
2025/04/12,01:59:56.7,伊豆大島近海,34°45.0′N,139°20.0′E,9 km,0.6,---
2025/04/12,02:01:17.7,石川県能登地方,37°27.2′N,137°11.4′E,11 km,0.4,---
2025/04/12,02:02,02.7,薩摩半島西方沖,31°40.7′N,130°11.7′E,10 km,0.5,---
2025/04/12,02:03:22.7,奄美大島北東沖,29°12.1′N,130°32.7′E,36 km,2.2,---
2025/04/12,02:04,03.2,和歌山県南方沖,33°26.6′N,135°37.4′E,13 km,0.2,---
2025/04/12,02:05,05.8,福島県沖,37°50.5′N,141°37.4′E,48 km,1.2,---
2025/04/12,02:05:38.6,石川県能登地方,37°21.5′N,136°52.1′E,15 km,0.2,---
2025/04/12,02:05:39.4,熊本県阿蘇地方,32°54.8′N,131°01.0′E,8 km,0.0,---
2025/04/12,02:06:20.0,豊後水道,32°51.0′N,132°25.2′E,9 km,1.4,---
2025/04/12,02:15,02.2,石川県能登地方,37°27.5′N,137°10.5′E,12 km,-0.1,---
2025/04/12,02:17,04.3,福島県沖,36°54.8′N,141°17.7′E,43 km,1.1,---
2025/04/12,02:19:39.2,石川県能登地方,37°28.4′N,137°06.9′E,8 km,0.3,---
2025/04/12,02:20,01.6,宮古島近海,24°10.5′N,125°11.3′E,12 km,2.1,---
2025/04/12,02:21:37.8,奄美大島北東沖,29°10.8′N,130°31.2′E,42 km,2.1,---
2025/04/12,02:27:15.0,岩手県沖,39°40.4′N,142°08.1′E,47 km,0.9,---
2025/04/12,02:30,02.3,能登半島沖,37°38.3′N,137°21.0′E,5 km,0.1,---
2025/04/12,02:30:16.1,福島県沖,37°15.7′N,141°20.5′E,58 km,1.2,---
2025/04/12,02:31:41.6,和歌山県北部,34°06.5′N,135°12.8′E,6 km,1.9,---
2025/04/12,02:32:29.9,福島県沖,37°22.8′N,141°42.0′E,42 km,1.5,---
2025/04/12,02:33,02.4,福島県沖,37°16.9′N,141°48.1′E,37 km,1.2,---
2025/04/12,02:34:46.3,石川県能登地方,37°11.1′N,136°53.9′E,10 km,0.3,---
2025/04/12,02:37,07.1,長野県中部,36°18.7′N,138°01.4′E,3 km,-0.1,---
2025/04/12,02:37:17.1,紀伊水道,34°11.7′N,135°03.1′E,9 km,0.3,---
2025/04/12,02:37:39.7,和歌山県南部,33°42.3′N,135°29.4′E,12 km,0.8,---
2025/04/12,02:38,06.2,岩手県沖,39°38.3′N,142°29.1′E,33 km,0.6,---
2025/04/12,02:39:19.8,岐阜県飛騨地方,35°58.8′N,137°32.2′E,8 km,0.2,---
2025/04/12,02:40,07.7,北海道南西沖,43°02.1′N,138°34.3′E,258 km,3.1,---
2025/04/12,02:40:25.5,宮古島北西沖,25°41.5′N,124°10.5′E,175 km,2.2,---
2025/04/12,02:42:53.4,宮城県沖,38°33.6′N,141°43.2′E,51 km,1.1,---
2025/04/12,02:42:58.3,茨城県沖,36°14.5′N,140°53.2′E,40 km,1.4,---
2025/04/12,02:43:11.5,釧路沖,42°40.5′N,145°20.6′E,29 km,1.6,---
2025/04/12,02:46:49.6,有明海,32°56.9′N,130°16.4′E,11 km,-0.1,---
2025/04/12,02:48:10.5,岩手県内陸南部,39°05.8′N,140°54.8′E,10 km,0.9,---
2025/04/12,02:48:39.1,岩手県内陸南部,39°05.9′N,140°54.7′E,9 km,2.8,---
2025/04/12,02:48:55.6,能登半島沖,37°33.2′N,137°28.3′E,13 km,0.3,---
2025/04/12,02:49:25.8,福岡県北西沖,33°43.2′N,130°13.0′E,11 km,0.0,---
2025/04/12,02:51,03.8,山口県北部,34°28.6′N,131°36.2′E,27 km,0.2,---
