地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2026/06/27,00:33:12.6,山梨県東部・富士五湖,35°32.3′N,138°58.6′E,18 km,2.5,震度１
2026/06/27,02:32:59.2,福島県会津,37°02.7′N,139°24.5′E,7 km,3.5,震度３
2026/06/27,03:59:37.8,千葉県北西部,35°47.8′N,140°05.4′E,71 km,3.9,震度１
2026/06/27,04:29:59.4,茨城県南部,36°11.9′N,140°01.4′E,52 km,3.3,震度１
2026/06/27,07:00:54.9,兵庫県南西部,34°46.0′N,134°24.0′E,11 km,3.3,震度１
2026/06/27,11:51:04.0,山梨県東部・富士五湖,35°32.6′N,138°58.6′E,19 km,2.7,震度１
2026/06/27,16:09:38.1,山梨県東部・富士五湖,35°32.7′N,138°58.6′E,19 km,2.5,震度１
2026/06/27,16:57:34.6,山梨県東部・富士五湖,35°33.5′N,138°57.5′E,21 km,2.2,震度１
2026/06/27,23:02:31.8,トカラ列島近海,29°19.4′N,129°31.6′E,12 km,2.8,震度１
