地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/02/15,22:06:41.6,岩手県沖,39°01.4′N,142°17.5′E,44 km,3.3,震度１
2024/02/15,20:00:22.4,新潟県上中越沖,37°33.4′N,137°37.0′E,17 km,4.3,震度２
2024/02/15,19:27:41.3,新潟県上中越沖,37°33.1′N,137°37.2′E,16 km,3.5,震度１
2024/02/15,18:38:50.9,宮城県沖,37°58.7′N,141°48.1′E,60 km,3.8,震度１
2024/02/15,15:29:43.1,新潟県上中越沖,37°33.2′N,137°37.0′E,16 km,5.0,震度３
2024/02/15,14:22:38.9,石川県能登地方,37°12.1′N,136°50.1′E,11 km,3.2,震度２
2024/02/15,12:48:19.4,佐渡付近,37°52.8′N,137°45.4′E,21 km,4.9,震度３
2024/02/15,11:49:57.2,石川県能登地方,37°13.9′N,136°48.3′E,8 km,3.2,震度１
2024/02/15,10:08:22.9,京都府南部,35°03.3′N,135°33.1′E,12 km,3.7,震度３
2024/02/15,02:25:46.8,岩手県内陸北部,39°42.2′N,141°15.2′E,85 km,4.1,震度２
2024/02/15,00:59:56.0,石川県能登地方,37°12.8′N,136°48.3′E,7 km,3.2,震度１
