地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
1934/12/31,14:17,詳細不明,36°13.0′N,140°06.0′E,0 km,不明,震度１
1934/12/30,21:10:23.6,播磨灘,34°33.7′N,134°42.7′E,0 km,2.7,震度１
1934/12/30,05:42,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1934/12/29,09:33,詳細不明,36°13.0′N,140°06.0′E,0 km,不明,震度１
1934/12/29,07:11,詳細不明,39°39.0′N,141°58.0′E,0 km,不明,震度１
1934/12/28,16:45:59.8,硫黄島近海,23°56.5′N,142°54.2′E,161 km,5.5,震度１
1934/12/27,17:48,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度２
1934/12/27,07:55:17.3,徳島県北部,34°08.5′N,134°25.2′E,2 km,3.7,震度２
1934/12/26,07:58,詳細不明,35°32.0′N,133°14.0′E,0 km,不明,震度１
1934/12/25,21:19,詳細不明,42°59.0′N,144°24.0′E,0 km,不明,震度１
1934/12/25,12:44:38.0,浦河沖,42°01.3′N,142°50.0′E,16 km,不明,震度１
1934/12/25,06:39,詳細不明,36°13.0′N,140°06.0′E,0 km,不明,震度１
1934/12/25,00:56,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1934/12/23,23:31,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1934/12/23,21:37,詳細不明,36°39.0′N,139°27.0′E,0 km,不明,震度１
1934/12/22,18:40,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1934/12/22,17:28,詳細不明,36°39.0′N,139°27.0′E,0 km,不明,震度１
1934/12/22,15:21:54.1,福島県浜通り,37°36.5′N,140°54.4′E,119 km,3.7,震度１
1934/12/22,09:40:59.3,豊後水道,33°17.7′N,132°25.1′E,31 km,4.0,震度２
1934/12/21,15:44:50.8,紀伊水道,33°56.6′N,135°04.2′E,10 km,3.4,震度２
1934/12/20,08:33:45.7,茨城県沖,36°18.8′N,140°37.6′E,68 km,不明,震度１
1934/12/19,18:01:59.8,福島県沖,37°35.9′N,141°25.8′E,0 km,4.3,震度１
1934/12/19,12:47:45,詳細不明,35°32.0′N,135°12.0′E,0 km,不明,震度１
1934/12/19,05:35:07.7,日向灘,32°05.4′N,131°41.7′E,0 km,4.4,震度１
1934/12/17,12:36:09.0,台湾付近,24°09.3′N,121°43.1′E,3 km,5.7,震度１
1934/12/16,時分不明データ,不明,不明,不明,不明,震度１
1934/12/16,17:22:00.0,茨城県沖,35°49.3′N,141°17.1′E,0 km,4.2,震度１
1934/12/16,13:46,詳細不明,42°10.0′N,142°47.0′E,0 km,不明,震度１
1934/12/16,12:30,詳細不明,43°20.0′N,145°35.0′E,0 km,不明,震度１
1934/12/16,07:41,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1934/12/15,02:21:13.0,茨城県北部,36°23.4′N,140°27.0′E,48 km,3.6,震度１
1934/12/14,時分不明データ,不明,不明,不明,不明,震度１
1934/12/14,22:39:15.0,茨城県南部,36°05.6′N,139°58.6′E,46 km,3.4,震度１
1934/12/13,07:05,詳細不明,28°23.0′N,129°30.0′E,0 km,不明,震度１
1934/12/12,21:51:24.3,茨城県沖,36°15.2′N,141°00.0′E,33 km,4.0,震度１
1934/12/12,06:43:21.9,徳島県北部,33°58.8′N,134°34.1′E,7 km,3.0,震度１
1934/12/12,00:34:40.2,新潟県上越地方,37°04.7′N,138°09.9′E,2 km,3.3,震度２
1934/12/11,12:49:36.0,茨城県沖,36°44.7′N,141°11.7′E,31 km,4.4,震度１
1934/12/11,09:29:36.9,茨城県北部,36°33.9′N,140°36.4′E,47 km,3.8,震度１
1934/12/11,05:56,詳細不明,42°10.0′N,142°47.0′E,0 km,不明,震度１
1934/12/10,18:05:24.7,千葉県南部,35°26.5′N,140°01.3′E,66 km,4.0,震度１
1934/12/10,09:22:04.6,岩手県沿岸北部,39°29.3′N,141°52.6′E,71 km,5.0,震度３
1934/12/10,08:38,詳細不明,40°49.0′N,140°46.0′E,0 km,不明,震度１
1934/12/10,08:25:47.1,岩手県沿岸北部,39°44.2′N,141°55.3′E,34 km,3.6,震度１
1934/12/09,12:16:06.3,和歌山県北部,33°53.9′N,135°11.5′E,8 km,3.6,震度１
1934/12/09,03:58:34.5,栃木県南部,36°20.4′N,139°52.8′E,60 km,3.4,震度１
1934/12/08,00:24:10.1,茨城県南部,36°08.4′N,139°54.5′E,41 km,3.9,震度２
1934/12/07,10:49:09.2,岩手県沿岸北部,39°48.8′N,141°40.2′E,10 km,3.9,震度１
1934/12/07,10:06:50.8,滋賀県北部,35°26.7′N,136°10.4′E,24 km,4.1,震度２
1934/12/07,02:50,詳細不明,42°10.0′N,142°47.0′E,0 km,不明,震度１
1934/12/07,01:07,詳細不明,34°51.0′N,136°28.0′E,0 km,不明,震度１
1934/12/05,12:54,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1934/12/05,09:32,詳細不明,36°13.0′N,140°06.0′E,0 km,不明,震度１
1934/12/04,10:50,詳細不明,34°25.0′N,131°24.0′E,0 km,不明,震度３
1934/12/03,03:36:11.8,青森県東方沖,41°20.6′N,143°18.4′E,53 km,不明,震度１
1934/12/02,22:08:07.3,紀伊水道,33°54.0′N,134°58.9′E,38 km,3.2,震度１
1934/12/02,21:07:28.1,和歌山県北部,34°07.4′N,135°16.6′E,33 km,2.8,震度１
1934/12/02,06:47,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1934/12/01,22:31:22.1,茨城県沖,36°47.6′N,141°15.7′E,14 km,4.6,震度１
1934/12/01,20:34:53.7,国後島付近,44°06.4′N,146°31.5′E,96 km,4.8,震度１
1934/12/01,12:28:04.3,房総半島南方沖,34°29.8′N,140°06.5′E,45 km,4.3,震度２
1934/12/01,08:06:23.2,土佐湾,33°21.4′N,133°38.3′E,16 km,3.9,震度１
1934/12/01,00:51,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1934/11/29,21:55:00.8,八丈島東方沖,33°22.3′N,140°48.6′E,16 km,5.1,震度２
1934/11/29,03:32:41.0,茨城県沖,35°58.2′N,141°04.1′E,38 km,4.7,震度２
1934/11/28,22:03,詳細不明,42°59.0′N,144°24.0′E,0 km,不明,震度１
1934/11/28,18:25:37.6,茨城県南部,36°10.7′N,139°55.7′E,43 km,3.7,震度２
1934/11/28,17:32,詳細不明,35°01.0′N,135°44.0′E,0 km,不明,震度１
1934/11/28,01:48,詳細不明,36°13.0′N,140°06.0′E,0 km,不明,震度１
1934/11/28,00:56:37.3,茨城県南部,36°07.6′N,139°55.5′E,49 km,4.9,震度３
1934/11/27,14:49:56.2,千葉県北東部,35°45.1′N,140°45.7′E,53 km,5.3,震度２
1934/11/27,10:33:28.7,東京湾,35°18.6′N,139°41.0′E,68 km,3.8,震度１
1934/11/26,12:38:35.2,埼玉県北部,36°02.7′N,139°32.5′E,52 km,4.1,震度２
1934/11/25,13:43,詳細不明,36°13.0′N,140°06.0′E,0 km,不明,震度１
1934/11/25,03:49,詳細不明,36°13.0′N,140°06.0′E,0 km,不明,震度１
1934/11/24,17:22:06.7,滋賀県南部,35°09.3′N,135°55.4′E,6 km,3.4,震度１
1934/11/23,17:30,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1934/11/23,06:29:31.2,茨城県沖,36°24.6′N,140°40.5′E,60 km,3.7,震度２
1934/11/23,04:18:54.4,滋賀県北部,35°31.5′N,136°12.8′E,26 km,3.0,震度２
1934/11/22,21:11,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1934/11/22,16:02,詳細不明,36°13.0′N,140°06.0′E,0 km,不明,震度１
1934/11/20,20:37,詳細不明,36°39.0′N,139°27.0′E,0 km,不明,震度２
1934/11/20,09:07:54.0,福島県浜通り,36°52.1′N,140°46.4′E,64 km,3.9,震度２
1934/11/19,19:49,詳細不明,42°10.0′N,142°47.0′E,0 km,不明,震度１
1934/11/19,17:22:05.0,茨城県沖,36°07.6′N,140°47.9′E,3 km,不明,震度１
1934/11/18,21:17:29.1,茨城県南部,36°08.1′N,139°59.7′E,48 km,3.8,震度２
1934/11/18,11:38:26.8,釧路沖,42°21.4′N,145°25.4′E,0 km,4.7,震度１
1934/11/17,19:30,詳細不明,43°20.0′N,145°35.0′E,0 km,不明,震度１
1934/11/17,13:05:27.8,千葉県南東沖,34°56.8′N,140°13.6′E,66 km,3.7,震度１
1934/11/16,07:05,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1934/11/15,02:16:20.9,栃木県南部,36°28.9′N,140°12.6′E,0 km,不明,震度１
1934/11/14,21:17:56.2,天草灘,32°03.2′N,130°07.0′E,0 km,3.7,震度１
1934/11/14,18:11,詳細不明,28°23.0′N,129°30.0′E,0 km,不明,震度１
1934/11/11,12:08:11.0,茨城県南部,36°07.4′N,139°58.2′E,42 km,3.6,震度１
1934/11/11,01:28:49.3,青森県東方沖,41°10.1′N,141°30.3′E,192 km,不明,震度１
1934/11/10,20:24:05.9,千葉県東方沖,35°51.9′N,140°55.2′E,76 km,4.2,震度１
1934/11/10,02:13,詳細不明,42°10.0′N,142°47.0′E,0 km,不明,震度１
1934/11/08,13:43:31.6,新潟県上越地方,37°08.1′N,138°05.7′E,38 km,4.4,震度２
1934/11/08,12:25:45.5,新潟県上中越沖,37°16.0′N,138°07.4′E,17 km,5.6,震度３
1934/11/08,10:05:23.0,新潟県上中越沖,37°10.0′N,138°01.3′E,0 km,4.5,震度１
1934/11/08,09:29:40.0,新潟県上中越沖,37°10.6′N,138°01.3′E,0 km,4.3,震度１
1934/11/07,20:30:05.8,福島県沖,37°01.9′N,141°36.7′E,101 km,5.1,震度１
1934/11/07,20:17:22.0,茨城県南部,36°13.1′N,140°27.7′E,47 km,3.2,震度１
1934/11/07,19:50,詳細不明,37°34.0′N,140°07.0′E,0 km,不明,震度１
1934/11/07,08:49,詳細不明,36°13.0′N,140°06.0′E,0 km,不明,震度１
1934/11/07,05:07:13.3,宮城県沖,38°00.6′N,141°41.3′E,64 km,4.4,震度１
1934/11/06,17:10:33.5,福島県沖,36°58.5′N,141°46.2′E,49 km,4.8,震度１
1934/11/06,01:42,詳細不明,33°50.0′N,132°47.0′E,0 km,不明,震度１
1934/11/05,10:11,詳細不明,28°23.0′N,129°30.0′E,0 km,不明,震度１
1934/11/05,04:59:32.6,宮城県沖,38°57.1′N,142°15.0′E,44 km,4.3,震度１
