地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2012/02/22,22:10:34.1,茨城県沖,35°58.4′N,141°06.6′E,25 km,3.6,震度１
2012/02/22,20:03:24.0,宮城県沖,38°32.0′N,141°43.1′E,54 km,3.6,震度１
2012/02/22,17:28:15.5,岩手県沖,40°08.1′N,142°08.2′E,56 km,3.9,震度２
2012/02/22,13:07:27.6,福島県中通り,37°00.9′N,140°35.3′E,9 km,3.0,震度１
2012/02/22,10:55:21.7,岩手県沖,39°05.9′N,142°24.0′E,32 km,4.0,震度１
2012/02/22,09:54:03.6,千葉県東方沖,35°39.9′N,140°57.4′E,17 km,3.9,震度１
2012/02/22,07:43:25.9,宮城県沖,37°52.0′N,142°30.8′E,40 km,3.8,震度１
2012/02/22,05:43:31.7,茨城県北部,36°45.6′N,140°33.1′E,9 km,3.1,震度１
2012/02/22,05:35:42.7,青森県東方沖,41°34.4′N,142°03.6′E,63 km,3.5,震度１
2012/02/22,04:13:43.8,茨城県南部,36°04.2′N,139°54.6′E,44 km,3.1,震度１
2012/02/22,02:58:56.2,千葉県北西部,35°33.7′N,140°08.0′E,63 km,3.2,震度１
2012/02/22,02:26:39.8,茨城県北部,36°42.6′N,140°35.7′E,7 km,3.3,震度２
2012/02/22,01:17:03.8,奄美大島近海,28°11.5′N,129°30.7′E,33 km,3.1,震度１
