地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2015/08/14,21:13:17.7,宮城県沖,38°55.1′N,141°55.9′E,51 km,3.8,震度１
2015/08/14,18:48:33.6,高知県中部,33°48.7′N,133°16.4′E,38 km,3.8,震度２
2015/08/14,15:33:55.9,沖縄本島北西沖,28°20.7′N,127°38.8′E,175 km,4.5,震度１
2015/08/14,14:25:44.2,山梨県中・西部,35°52.0′N,138°47.6′E,7 km,2.6,震度１
2015/08/14,13:43:44.8,十勝地方中部,42°45.1′N,143°06.7′E,80 km,5.1,震度４
2015/08/14,12:24:21.2,和歌山県北部,34°05.6′N,135°11.4′E,5 km,2.1,震度１
2015/08/14,05:13:32.9,福島県沖,37°09.9′N,141°26.2′E,49 km,5.1,震度４
2015/08/14,04:30:29.6,周防灘,33°48.5′N,131°58.4′E,66 km,3.2,震度１
