地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/03/21,00:00,03.4,能登半島沖,37°24.8′N,136°44.8′E,11 km,1.9,---
2024/03/21,00:05:41.7,千葉県東方沖,35°22.5′N,140°29.1′E,24 km,1.6,---
2024/03/21,00:05:44.3,石川県能登地方,37°12.3′N,136°45.7′E,8 km,1.1,---
2024/03/21,00:07:35.6,西表島付近,24°16.9′N,123°47.1′E,17 km,0.7,---
2024/03/21,00:10,01.5,愛媛県南予,33°02.3′N,132°40.2′E,12 km,0.2,---
2024/03/21,00:16:59.6,福島県沖,37°27.5′N,141°32.4′E,44 km,1.4,---
2024/03/21,00:19:48.5,広島県南西部,34°23.0′N,132°39.1′E,23 km,0.6,---
2024/03/21,00:19:55.7,福島県沖,37°21.3′N,141°56.5′E,34 km,1.8,---
2024/03/21,00:26,00.9,福島県沖,37°13.1′N,141°56.8′E,30 km,1.5,---
2024/03/21,00:26:19.0,熊本県熊本地方,32°59.0′N,130°26.1′E,12 km,0.6,---
2024/03/21,00:29:53.0,能登半島沖,37°38.1′N,137°28.1′E,11 km,1.4,---
2024/03/21,00:30:29.8,紀伊水道,34°09.2′N,135°04.6′E,10 km,1.2,---
2024/03/21,00:37:52.7,福島県沖,37°47.3′N,141°38.8′E,53 km,1.3,---
2024/03/21,00:38:48.1,福岡県筑後地方,33°01.7′N,130°29.3′E,8 km,-0.3,---
2024/03/21,00:43:15.2,岩手県沖,40°22.3′N,142°12.1′E,44 km,0.9,---
2024/03/21,00:56,03.4,石川県能登地方,37°23.4′N,137°05.4′E,11 km,1.3,---
2024/03/21,01:00,03.8,石川県能登地方,37°11.4′N,136°53.0′E,9 km,1.2,---
2024/03/21,01:12:18.6,千葉県南東沖,34°55.5′N,140°19.5′E,63 km,1.5,---
2024/03/21,01:15:29.0,石川県能登地方,37°19.0′N,136°48.0′E,8 km,2.1,---
2024/03/21,01:17:30.9,石川県西方沖,36°59.2′N,136°40.3′E,7 km,2.3,---
