地震の発生日時,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/02/19 00:01:21.8,山梨県中・西部,35.755,138.24833333333333,10,0.3,-
2025/02/19 00:06:39.0,宮城県沖,38.85166666666667,142.42666666666668,35,1.2,-
2025/02/19 00:12:36.8,山梨県東部・富士五湖,35.45166666666667,138.93833333333333,24,1.5,-
2025/02/19 00:14:22.4,三陸沖,39.598333333333336,143.51,10,2.1,-
2025/02/19 00:16:10.3,茨城県沖,36.44166666666667,141.045,35,1.2,-
2025/02/19 00:23:12.3,青森県西方沖,40.43833333333333,139.01833333333335,21,1.9,-
2025/02/19 00:32:23.0,和歌山県南部,33.81166666666667,135.79166666666666,39,0.8,-
2025/02/19 00:35:21.7,沖縄本島近海,26.686666666666667,127.13833333333334,7,2.4,-
2025/02/19 00:35:34.0,宮崎県北部平野部,32.221666666666664,131.53833333333333,15,0.2,-
2025/02/19 00:36:06.0,茨城県沖,36.265,140.84666666666666,45,0.8,-
2025/02/19 00:38:58.2,茨城県沖,36.27333333333333,141.15166666666667,32,0.9,-
2025/02/19 00:42:42.7,埼玉県北部,36.13666666666666,139.46666666666667,68,1,-
2025/02/19 00:48:16.2,青森県津軽南部,40.61,140.495,11,0.8,-
2025/02/19 00:54:18.9,福島県沖,36.93833333333333,141.17166666666665,21,1.1,-
2025/02/19 00:54:19.1,新島・神津島近海,34.43,139.31333333333333,20,-1,-
2025/02/19 00:55:22.5,宮城県沖,38.861666666666665,142.41833333333332,33,1.5,-
2025/02/19 00:59:30.9,静岡県西部,34.84166666666667,137.925,29,0.5,-
2025/02/19 01:02:16.4,根室半島南東沖,42.7,145.83666666666667,28,1.3,-
2025/02/19 01:15:19.2,福島県沖,37.13333333333333,141.395,42,0.9,-
2025/02/19 01:15:49.2,福島県会津,36.971666666666664,139.38,5,0.5,-
2025/02/19 01:18:19.3,岩手県内陸北部,40.19166666666667,141.27666666666667,11,1.2,-
2025/02/19 01:18:56.0,群馬県南部,36.305,139.39666666666668,79,0.4,-
2025/02/19 01:20:14.3,福島県会津,37.053333333333335,139.345,8,1,-
2025/02/19 01:21:28.7,新潟県上中越沖,37.166666666666664,138.21833333333333,24,1.1,-
2025/02/19 01:22:44.5,石川県西方沖,36.903333333333336,136.52666666666667,10,1.5,-
2025/02/19 01:23:12.3,福島県会津,37.05166666666667,139.34333333333333,8,1.1,-
2025/02/19 01:25:56.0,新潟県上中越沖,37.67,137.52333333333334,15,2,-
2025/02/19 01:27:08.9,石垣島近海,23.073333333333334,124.24833333333333,51,3.2,-
2025/02/19 01:30:09.3,石川県西方沖,36.935,136.38666666666666,15,1.5,-
2025/02/19 01:33:52.8,青森県三八上北地方,40.47,141.22666666666666,11,0.6,-
2025/02/19 01:36:35.7,福島県沖,37.276666666666664,141.07166666666666,76,0.5,-
2025/02/19 01:36:43.1,鹿児島県薩摩地方,31.921666666666667,130.71833333333333,0,1.5,-
2025/02/19 01:37:40.3,石川県西方沖,36.903333333333336,136.52666666666667,10,1.3,-
2025/02/19 01:38:43.3,鹿児島県薩摩地方,31.921666666666667,130.72,0,1.4,-
2025/02/19 01:42:08.2,三重県南東沖,34.20333333333333,136.87166666666667,22,2.2,-
2025/02/19 01:46:15.9,茨城県沖,36.266666666666666,140.88333333333333,45,0.8,-
2025/02/19 01:48:53.4,福島県中通り,36.88333333333333,140.54333333333332,8,0.6,-
2025/02/19 01:51:31.8,長崎県南西部,32.905,129.97,14,0.8,-
2025/02/19 01:51:40.4,長野県北部,36.67166666666667,138.21333333333334,10,1.8,-
2025/02/19 01:54:35.0,十勝沖,42.26,144.28833333333333,23,2.4,-
2025/02/19 01:54:51.6,福島県会津,36.97666666666667,139.375,4,0.6,-
2025/02/19 01:55:33.0,鹿児島県薩摩地方,31.926666666666666,130.72,2,0.3,-
2025/02/19 01:57:19.8,種子島近海,30.561666666666667,131.13833333333332,27,2,-
2025/02/19 01:57:36.5,長野県北部,36.66,138.225,6,0.1,-
2025/02/19 01:57:51.5,青森県三八上北地方,40.388333333333335,141.26166666666666,10,0.3,-
2025/02/19 01:58:05.5,空知地方北部,43.87833333333333,142.075,11,0.1,-
2025/02/19 01:58:42.2,宮城県沖,38.693333333333335,141.95833333333334,55,0.8,-
2025/02/19 02:02:06.0,浦河沖,41.62833333333333,142.15166666666667,42,1,-
2025/02/19 02:06:17.9,三重県南東沖,34.10666666666667,136.69333333333333,39,1,-
2025/02/19 02:12:36.6,青森県下北地方,41.266666666666666,140.93666666666667,7,0.3,-
2025/02/19 02:16:49.9,熊本県天草・芦北地方,32.31666666666667,130.46333333333334,8,0.3,-
2025/02/19 02:19:17.4,根室半島南東沖,43.385,146.12,59,1.3,-
2025/02/19 02:32:48.6,長野県北部,36.65,138.21333333333334,6,0.2,-
2025/02/19 02:36:15.4,福島県沖,37.84166666666667,141.61,48,0.9,-
2025/02/19 02:38:58.6,宮城県沖,38.85666666666667,142.43666666666667,35,1.4,-
2025/02/19 02:41:24.1,熊本県天草・芦北地方,32.48,130.50166666666667,12,0.3,-
2025/02/19 02:41:36.5,青森県下北地方,41.26,140.94,9,1.3,-
2025/02/19 02:43:25.3,岐阜県飛騨地方,35.983333333333334,137.54833333333335,6,0.2,-
2025/02/19 02:45:35.9,有明海,32.736666666666665,130.57666666666665,7,0.4,-
2025/02/19 02:46:20.8,宮城県沖,37.88333333333333,141.70166666666665,53,1.1,-
2025/02/19 02:49:09.3,紀伊水道,34.138333333333335,135.11166666666668,6,0.4,-
2025/02/19 02:49:50.5,千葉県東方沖,35.62,140.81166666666667,13,1.4,-
2025/02/19 02:51:25.6,静岡県東部,35.375,138.96,19,0.8,-
2025/02/19 02:52:52.1,十勝地方北部,43.586666666666666,143.765,13,0.3,-
2025/02/19 02:55:15.2,熊本県天草・芦北地方,32.321666666666665,130.46333333333334,9,0.6,-
2025/02/19 02:57:06.2,種子島近海,30.28,130.93166666666667,9,1.2,-
2025/02/19 02:57:08.0,山梨県東部・富士五湖,35.50833333333333,138.94166666666666,19,-1,-
2025/02/19 02:58:17.0,福島県会津,37.04833333333333,139.345,7,0.6,-
2025/02/19 03:04:11.3,千葉県南東沖,34.73833333333333,140.63333333333333,42,1.2,-
2025/02/19 03:05:15.8,福島県沖,37.111666666666665,142.25333333333333,15,1.2,-
2025/02/19 03:07:35.7,和歌山県北部,34.236666666666665,135.18,7,1.7,-
2025/02/19 03:08:44.5,岩手県沖,39.153333333333336,142.405,30,2.5,-
2025/02/19 03:14:58.3,秋田県内陸北部,40.02166666666667,140.54,8,0.6,-
2025/02/19 03:15:41.6,宮崎県南部山沿い,31.676666666666666,131.095,63,0.7,-
2025/02/19 03:16:21.4,栃木県北部,37.02333333333333,139.655,6,0.3,-
2025/02/19 03:17:45.4,栃木県北部,37.025,139.66166666666666,8,0.7,-
2025/02/19 03:22:26.0,沖縄本島近海,26.821666666666665,127.27333333333333,13,1.8,-
2025/02/19 03:23:05.1,兵庫県南西部,34.973333333333336,134.62,12,0.4,-
2025/02/19 03:23:07.7,鳥取県中部,35.428333333333335,133.82333333333332,9,0.1,-
2025/02/19 03:24:46.6,秋田県内陸北部,40.01833333333333,140.535,7,0.4,-
2025/02/19 03:25:25.8,長野県中部,36.32833333333333,138.04333333333332,4,-10.3,-
2025/02/19 03:27:01.9,鹿児島県薩摩地方,31.868333333333332,130.86,4,0.6,-
2025/02/19 03:28:20.1,茨城県沖,36.236666666666665,141.07833333333335,37,1,-
