地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/11/08,00:00:50.5,福島県沖,37°19.2′N,141°53.8′E,36 km,1.2,---
2025/11/08,00:07:42.4,福島県沖,36°59.2′N,141°21.8′E,21 km,1.9,---
2025/11/08,00:10:22.7,石川県能登地方,37°11.6′N,136°47.4′E,8 km,1.1,---
2025/11/08,00:11:26.5,福島県沖,36°44.9′N,141°46.2′E,21 km,1.5,---
2025/11/08,00:13:49.4,日高地方西部,42°51.0′N,142°31.4′E,98 km,0.7,---
2025/11/08,00:15:27.3,新潟県上越地方,36°50.0′N,137°48.0′E,0 km,0.1,---
2025/11/08,00:17:52.3,長野県南部,35°52.4′N,137°37.7′E,9 km,1.9,---
2025/11/08,00:19:14.8,長野県南部,35°52.5′N,137°38.0′E,11 km,-0.1,---
2025/11/08,00:19:29.3,長野県南部,35°52.3′N,137°37.6′E,9 km,-0.5,---
2025/11/08,00:20:54.2,石川県能登地方,37°13.5′N,136°43.2′E,11 km,0.8,---
2025/11/08,00:25:34.6,大阪府南部,34°21.2′N,135°23.1′E,11 km,0.2,---
2025/11/08,00:28:16.1,日向灘,31°55.9′N,131°52.4′E,24 km,1.7,---
2025/11/08,00:28:20.0,日向灘,31°56.4′N,131°53.1′E,26 km,1.8,---
2025/11/08,00:29:02.5,千葉県東方沖,35°48.3′N,141°06.0′E,27 km,1.6,---
2025/11/08,00:29:08.7,神奈川県西部,35°18.1′N,139°03.6′E,15 km,0.1,---
2025/11/08,00:35:41.3,五島列島近海,33°09.4′N,129°30.0′E,3 km,0.5,---
2025/11/08,00:37:17.1,福島県沖,37°31.5′N,141°35.0′E,58 km,1.5,---
2025/11/08,00:37:40.1,熊本県天草・芦北地方,32°13.5′N,130°33.7′E,5 km,0.4,---
2025/11/08,00:39:29.2,岩手県内陸北部,39°51.6′N,141°17.3′E,88 km,0.9,---
2025/11/08,00:45:51.6,長野県中部,36°20.1′N,137°52.3′E,7 km,0.0,---
2025/11/08,00:50:03.8,熊本県熊本地方,32°23.9′N,130°41.0′E,10 km,0.5,---
2025/11/08,00:50:34.9,宮城県沖,38°19.1′N,142°08.6′E,33 km,0.8,---
2025/11/08,00:52:46.3,三陸沖,39°21.9′N,143°26.8′E,14 km,3.0,---
2025/11/08,00:55:37.7,栃木県北部,36°57.0′N,139°40.2′E,6 km,-0.3,---
2025/11/08,00:59:05.9,宮城県沖,38°34.1′N,141°54.4′E,41 km,0.7,---
2025/11/08,01:01:12.9,紀伊水道,34°13.4′N,135°07.3′E,5 km,0.0,---
2025/11/08,01:03:41.4,有明海,32°47.3′N,130°28.7′E,9 km,-0.2,---
2025/11/08,01:04:14.8,石川県能登地方,37°20.5′N,136°51.7′E,10 km,1.5,---
2025/11/08,01:13:42.4,静岡県西部,34°52.2′N,137°49.2′E,23 km,0.4,---
2025/11/08,01:14:50.4,千葉県南部,35°10.4′N,140°13.2′E,18 km,1.2,---
2025/11/08,01:16:51.5,関東東方沖,36°27.3′N,143°26.0′E,23 km,1.5,---
2025/11/08,01:21:56.7,神奈川県西部,35°28.0′N,139°03.2′E,15 km,0.2,---
2025/11/08,01:25:32.0,紀伊水道,33°58.3′N,135°03.2′E,7 km,0.4,---
2025/11/08,01:25:37.7,茨城県南部,35°56.8′N,140°20.1′E,27 km,0.6,---
2025/11/08,01:26:29.9,三陸沖,39°22.0′N,143°26.8′E,14 km,3.2,---
2025/11/08,01:27:31.7,和歌山県北部,33°51.2′N,135°25.7′E,42 km,-0.1,---
2025/11/08,01:28:53.4,岐阜県飛騨地方,36°02.8′N,137°31.1′E,6 km,0.8,---
2025/11/08,01:34:14.2,高知県中部,33°45.8′N,133°30.0′E,7 km,0.0,---
2025/11/08,01:36:40.2,京都府南部,35°09.7′N,135°19.4′E,8 km,0.3,---
