地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/02/21,00:00:03.1,岐阜県飛騨地方,35°57.8′N,137°18.6′E,6 km,0.4,---
2025/02/21,00:01:41.9,長野県中部,36°15.3′N,137°37.7′E,5 km,-10.2,---
2025/02/21,00:02:44.0,宮城県沖,38°0.6′N,141°49.7′E,51 km,1.3,---
2025/02/21,00:03:13.3,山梨県東部・富士五湖,35°29.0′N,138°54.3′E,23 km,0.4,---
2025/02/21,00:05:48.8,長野県南部,35°53.2′N,137°37.4′E,5 km,-10.3,---
2025/02/21,00:06:32.1,日本海北部,43°22.1′N,138°26.0′E,259 km,2.9,---
2025/02/21,00:18:10.8,薩摩半島西方沖,31°16.8′N,129°57.0′E,8 km,1.1,---
2025/02/21,00:18:31.8,福島県沖,37°4.6′N,141°21.5′E,11 km,1.3,---
2025/02/21,00:19:41.2,長野県南部,35°53.7′N,137°45.1′E,7 km,0.5,---
2025/02/21,00:23:55.2,長野県南部,35°53.7′N,138°6.7′E,4 km,-10.6,---
2025/02/21,00:24:20.0,長野県南部,35°48.7′N,137°29.1′E,7 km,0.6,---
2025/02/21,00:28:25.5,茨城県南部,36°0.1′N,140°13.1′E,39 km,0.6,---
2025/02/21,00:32:35.5,鹿児島県薩摩地方,32°1.8′N,130°41.7′E,154 km,-1,---
2025/02/21,00:36:41.9,宮崎県北部平野部,32°13.6′N,131°32.8′E,13 km,1.2,---
2025/02/21,00:40:42.2,青森県西方沖,40°30.5′N,139°16.5′E,15 km,1.8,---
2025/02/21,00:46:06.9,宮崎県北部平野部,32°12.7′N,131°33.2′E,14 km,-10.1,---
2025/02/21,00:47:09.7,神奈川県西部,35°24.9′N,139°8.6′E,12 km,0.3,---
2025/02/21,00:47:48.8,千葉県東方沖,35°42.7′N,140°49.4′E,11 km,1.5,---
2025/02/21,00:48:33.2,紀伊水道,34°11.8′N,135°8.4′E,6 km,0.9,---
2025/02/21,00:50:01.3,能登半島沖,37°9.1′N,136°40.9′E,9 km,0.8,---
2025/02/21,00:50:12.0,山梨県東部・富士五湖,35°29.4′N,138°55.5′E,23 km,0.4,---
2025/02/21,00:50:22.9,山梨県東部・富士五湖,35°29.1′N,138°54.9′E,22 km,0.8,---
2025/02/21,00:54:38.6,淡路島付近,34°13.1′N,134°46.7′E,7 km,0.4,---
