地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2011/09/27,16:22:01.6,青森県三八上北地方,40°18.3′N,140°59.1′E,9 km,3.0,震度１
2011/09/27,14:06:04.9,秋田県内陸南部,39°35.5′N,140°32.9′E,6 km,2.0,震度１
2011/09/27,13:04:37.3,徳島県北部,34°00.1′N,134°15.3′E,4 km,2.5,震度１
2011/09/27,12:56:54.3,茨城県北部,36°51.7′N,140°39.6′E,7 km,4.0,震度２
2011/09/27,12:04:20.7,福島県沖,37°46.1′N,142°01.2′E,37 km,3.9,震度１
2011/09/27,05:46:14.8,福島県会津,37°40.5′N,139°56.3′E,9 km,2.6,震度１
2011/09/27,05:45:23.2,千葉県東方沖,35°39.8′N,140°56.9′E,19 km,3.4,震度１
2011/09/27,02:30:36.3,茨城県北部,36°50.7′N,140°37.3′E,7 km,4.1,震度２
