地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
1929/12/31,06:00:40,詳細不明,35°32.0′N,135°12.0′E,0 km,不明,震度１
1929/12/30,08:24,詳細不明,32°44.0′N,130°16.0′E,0 km,不明,震度１
1929/12/30,08:09,詳細不明,32°44.0′N,130°16.0′E,0 km,不明,震度１
1929/12/29,03:18,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1929/12/28,18:09:57,詳細不明,26°12.0′N,127°41.0′E,0 km,不明,震度２
1929/12/26,23:21:17.7,千葉県北西部,35°43.8′N,140°01.1′E,21 km,3.9,震度２
1929/12/26,23:20,詳細不明,36°14.0′N,140°12.0′E,0 km,不明,震度１
1929/12/26,18:00:30.8,日向灘,32°15.4′N,132°10.1′E,11 km,4.7,震度１
1929/12/25,09:43,詳細不明,28°23.0′N,129°30.0′E,0 km,不明,震度１
1929/12/24,21:59,詳細不明,36°33.0′N,139°52.0′E,0 km,不明,震度１
1929/12/24,19:47:20.9,熊本県熊本地方,32°53.7′N,130°38.0′E,6 km,不明,震度１
1929/12/23,19:31,詳細不明,27°05.0′N,142°12.0′E,0 km,不明,震度１
1929/12/23,02:57:30.5,秋田県沖,39°44.2′N,140°00.7′E,9 km,4.0,震度３
1929/12/22,09:44,詳細不明,42°59.0′N,144°24.0′E,0 km,不明,震度２
1929/12/22,09:19,詳細不明,27°05.0′N,142°12.0′E,0 km,不明,震度１
1929/12/22,06:50,詳細不明,36°44.0′N,139°30.0′E,0 km,不明,震度５
1929/12/22,06:39:04.7,千葉県北西部,36°05.0′N,139°47.5′E,54 km,3.4,震度１
1929/12/21,10:47:33.5,伊予灘,33°47.4′N,132°12.6′E,24 km,3.9,震度１
1929/12/20,01:27,詳細不明,42°59.0′N,144°24.0′E,0 km,不明,震度１
1929/12/19,11:08,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度１
1929/12/19,01:07,詳細不明,28°23.0′N,129°30.0′E,0 km,不明,震度１
1929/12/19,00:17:37.6,和歌山県北部,34°05.1′N,135°12.4′E,0 km,2.9,震度１
1929/12/19,00:05,詳細不明,33°27.0′N,135°46.0′E,0 km,不明,震度１
1929/12/18,15:58:32.0,台湾付近,23°55.1′N,122°17.7′E,153 km,5.5,震度１
1929/12/17,20:23,詳細不明,36°13.0′N,140°06.0′E,0 km,不明,震度１
1929/12/17,20:04,詳細不明,37°45.0′N,140°28.0′E,0 km,不明,震度１
1929/12/16,11:51,詳細不明,36°39.0′N,139°27.0′E,0 km,不明,震度１
1929/12/15,02:51,詳細不明,43°20.0′N,145°35.0′E,0 km,不明,震度１
1929/12/14,13:04,詳細不明,34°14.0′N,135°10.0′E,0 km,不明,震度２
