地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2000/10/08,23:59:59.1,島根県東部,35°24.7′N,133°16.1′E,9 km,1.6,震度１
2000/10/08,23:45:39.2,鳥取県西部,35°16.7′N,133°20.5′E,11 km,2.7,震度１
2000/10/08,23:33:39.0,鳥取県西部,35°13.1′N,133°25.7′E,2 km,1.9,震度１
2000/10/08,23:31:16.2,島根県東部,35°24.8′N,133°19.5′E,7 km,1.2,震度１
2000/10/08,23:25:46.4,島根県東部,35°23.0′N,133°18.5′E,8 km,3.0,震度２
2000/10/08,23:11:01.7,島根県東部,35°23.2′N,133°18.1′E,8 km,2.7,震度１
2000/10/08,22:52:29.0,島根県東部,35°23.2′N,133°18.2′E,9 km,1.9,震度１
2000/10/08,22:37:30.8,鳥取県西部,35°19.5′N,133°19.2′E,7 km,2.1,震度１
2000/10/08,22:31:57.4,島根県東部,35°19.5′N,133°17.6′E,7 km,2.0,震度１
2000/10/08,22:24:45.6,島根県東部,35°09.2′N,133°08.3′E,8 km,2.9,震度１
2000/10/08,22:09:27.9,鳥取県西部,35°21.8′N,133°19.0′E,8 km,3.1,震度２
2000/10/08,22:07:22.7,島根県東部,35°23.0′N,133°19.6′E,9 km,2.4,震度１
2000/10/08,22:04:34.2,島根県東部,35°23.1′N,133°18.3′E,8 km,2.0,震度１
2000/10/08,22:03:30.5,鳥取県西部,35°19.5′N,133°19.1′E,6 km,1.5,震度１
2000/10/08,21:59:25.3,島根県東部,35°25.6′N,133°17.9′E,10 km,1.7,震度１
2000/10/08,21:58:26.7,島根県東部,35°22.9′N,133°18.4′E,8 km,2.1,震度１
2000/10/08,21:54:14.2,鳥取県西部,35°21.4′N,133°19.0′E,7 km,1.8,震度１
2000/10/08,21:51:10.5,島根県東部,35°23.2′N,133°18.7′E,8 km,2.7,震度１
2000/10/08,21:39:44.2,鳥取県西部,35°12.5′N,133°25.8′E,2 km,1.5,震度１
2000/10/08,21:33:58.9,鳥取県西部,35°21.0′N,133°19.2′E,6 km,3.0,震度３
2000/10/08,21:33:00.5,鳥取県西部,35°21.1′N,133°19.1′E,6 km,2.2,震度１
2000/10/08,21:21:12.4,鳥取県西部,35°21.3′N,133°19.1′E,7 km,1.9,震度１
2000/10/08,21:18:00.2,鳥取県西部,35°21.1′N,133°19.0′E,6 km,2.6,震度２
2000/10/08,21:11:11.4,鳥取県西部,35°21.4′N,133°19.1′E,8 km,1.9,震度１
2000/10/08,21:03:04.4,島根県東部,35°21.7′N,133°18.4′E,8 km,2.6,震度２
2000/10/08,20:59:36.5,島根県東部,35°22.0′N,133°18.2′E,8 km,4.2,震度３
2000/10/08,20:58:44.2,島根県東部,35°21.7′N,133°18.9′E,8 km,2.7,震度１
2000/10/08,20:54:27.8,島根県東部,35°22.0′N,133°18.8′E,7 km,3.7,震度３
2000/10/08,20:51:17.1,島根県東部,35°22.1′N,133°18.6′E,8 km,5.2,震度５弱
2000/10/08,20:50:28.0,島根県東部,35°21.2′N,133°18.9′E,7 km,2.7,震度２
2000/10/08,20:49:03.3,島根県東部,35°21.8′N,133°18.8′E,7 km,4.3,震度４
2000/10/08,20:28:51.9,鳥取県西部,35°11.7′N,133°24.9′E,9 km,2.9,震度１
2000/10/08,19:01:41.0,鳥取県西部,35°19.7′N,133°19.0′E,14 km,2.4,震度１
2000/10/08,18:42:46.2,鳥取県西部,35°19.0′N,133°19.9′E,6 km,2.3,震度２
2000/10/08,18:30:40.5,鳥取県西部,35°22.8′N,133°20.1′E,9 km,3.0,震度２
2000/10/08,18:19:42.0,鳥取県西部,35°18.9′N,133°19.1′E,7 km,3.3,震度１
2000/10/08,17:51:04.3,新島・神津島近海,34°27.8′N,139°08.6′E,10 km,2.7,震度１
2000/10/08,17:50:49.6,島根県東部,35°22.5′N,133°16.8′E,8 km,2.6,震度１
2000/10/08,17:31:39.0,島根県東部,35°25.2′N,133°19.7′E,9 km,1.5,震度１
2000/10/08,17:23:50.7,島根県東部,35°09.7′N,133°09.5′E,8 km,3.0,震度１
2000/10/08,17:21:46.3,鳥取県西部,35°19.1′N,133°19.7′E,7 km,2.6,震度２
2000/10/08,17:13:32.3,鳥取県西部,35°15.8′N,133°21.9′E,12 km,2.3,震度１
2000/10/08,17:10:32.8,島根県東部,35°11.8′N,133°07.7′E,8 km,2.5,震度２
2000/10/08,17:03:47.4,島根県東部,35°23.7′N,133°16.6′E,9 km,2.3,震度１
2000/10/08,16:55:39.6,島根県東部,35°25.1′N,133°17.9′E,10 km,2.1,震度１
2000/10/08,16:51:36.3,島根県東部,35°20.2′N,133°17.5′E,7 km,1.9,震度１
2000/10/08,16:42:03.0,島根県東部,35°17.9′N,133°18.0′E,4 km,2.2,震度１
2000/10/08,16:41:42.1,鳥取県西部,35°18.7′N,133°19.5′E,7 km,1.9,震度１
2000/10/08,16:23:51.6,島根県東部,35°09.5′N,133°08.3′E,7 km,2.6,震度１
2000/10/08,16:16:55.1,島根県東部,35°21.8′N,133°17.2′E,9 km,2.6,震度２
2000/10/08,15:57:51.4,島根県東部,35°23.0′N,133°19.1′E,11 km,2.9,震度１
2000/10/08,15:47:35.4,島根県東部,35°21.8′N,133°17.2′E,9 km,3.6,震度２
2000/10/08,15:38:00.1,鳥取県西部,35°13.3′N,133°23.5′E,12 km,3.0,震度１
2000/10/08,15:26:19.7,鳥取県西部,35°19.6′N,133°19.2′E,6 km,2.2,震度１
2000/10/08,14:54:16.5,鳥取県西部,35°18.6′N,133°20.3′E,1 km,2.1,震度１
