地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/07/11,22:45:47.5,トカラ列島近海,29°19.5′N,129°34.4′E,3 km,2.6,震度１
2025/07/11,22:17:08.8,トカラ列島近海,29°19.3′N,129°30.7′E,9 km,2.6,震度２
2025/07/11,22:02:41.7,トカラ列島近海,29°16.4′N,129°29.2′E,1 km,2.6,震度１
2025/07/11,21:47:57.0,トカラ列島近海,29°18.0′N,129°28.6′E,8 km,3.2,震度２
2025/07/11,21:47:15.0,トカラ列島近海,29°17.3′N,129°30.8′E,13 km,2.7,震度１
2025/07/11,20:48:02.5,トカラ列島近海,29°20.5′N,129°27.6′E,9 km,2.9,震度２
2025/07/11,20:21:32.1,トカラ列島近海,29°18.8′N,129°27.1′E,11 km,2.8,震度１
2025/07/11,20:16:23.5,トカラ列島近海,29°16.2′N,129°29.5′E,8 km,3.0,震度２
2025/07/11,19:41:23.2,トカラ列島近海,29°17.4′N,129°28.4′E,10 km,3.0,震度１
2025/07/11,18:40:15.1,トカラ列島近海,29°16.3′N,129°27.7′E,9 km,2.6,震度１
2025/07/11,18:26:06.6,トカラ列島近海,29°16.9′N,129°30.2′E,5 km,2.4,震度１
2025/07/11,18:08:08.8,トカラ列島近海,29°17.6′N,129°29.6′E,8 km,2.7,震度１
2025/07/11,17:47:36.9,トカラ列島近海,29°16.4′N,129°27.8′E,10 km,2.3,震度１
2025/07/11,17:33:25.1,トカラ列島近海,29°18.1′N,129°32.7′E,4 km,2.5,震度１
2025/07/11,17:28:05.0,トカラ列島近海,29°19.0′N,129°27.1′E,8 km,2.5,震度１
2025/07/11,16:54:33.3,トカラ列島近海,29°15.9′N,129°31.7′E,9 km,2.8,震度１
2025/07/11,16:33:08.9,トカラ列島近海,29°15.5′N,129°28.5′E,1 km,不明,震度１
2025/07/11,16:30:16.4,トカラ列島近海,29°16.5′N,129°27.2′E,13 km,4.9,震度４
2025/07/11,16:29:35.7,トカラ列島近海,29°21.0′N,129°33.2′E,8 km,2.5,震度１
2025/07/11,16:21:38.4,トカラ列島近海,29°16.9′N,129°26.2′E,12 km,4.8,震度３
2025/07/11,16:09:27.5,宮古島近海,24°04.7′N,125°56.4′E,77 km,5.1,震度１
2025/07/11,16:09:09.2,トカラ列島近海,29°16.2′N,129°27.5′E,11 km,5.0,震度４
2025/07/11,15:25:31.3,トカラ列島近海,29°17.7′N,129°30.0′E,11 km,3.2,震度２
2025/07/11,14:39:38.6,トカラ列島近海,29°17.5′N,129°31.0′E,9 km,2.3,震度１
2025/07/11,14:22:29.9,トカラ列島近海,29°16.8′N,129°30.3′E,6 km,2.6,震度１
2025/07/11,14:13:29.9,トカラ列島近海,29°18.4′N,129°27.5′E,12 km,3.3,震度２
2025/07/11,13:40:13.0,トカラ列島近海,29°18.3′N,129°28.6′E,10 km,4.0,震度３
2025/07/11,13:23:39.4,トカラ列島近海,29°17.9′N,129°28.0′E,11 km,2.9,震度１
2025/07/11,13:04:05.9,トカラ列島近海,29°17.7′N,129°29.0′E,11 km,2.8,震度１
