地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
1947/01/23,23:24,詳細不明,39°39.0′N,141°58.0′E,0 km,不明,震度１
1947/01/23,17:16:08.1,香川県東部,34°16.1′N,134°05.4′E,3 km,不明,震度１
1947/01/23,08:27,詳細不明,34°39.0′N,133°55.0′E,0 km,不明,震度１
1947/01/23,08:22,詳細不明,34°24.0′N,132°28.0′E,0 km,不明,震度１
1947/01/23,08:13:08.9,徳島県南部,33°37.1′N,134°14.4′E,3 km,5.2,震度３
1947/01/23,04:25,詳細不明,34°39.0′N,133°55.0′E,0 km,不明,震度２
1947/01/23,03:49:03.4,徳島県南部,33°52.6′N,134°24.3′E,13 km,3.3,震度３
1947/01/23,01:05,詳細不明,34°19.0′N,134°03.0′E,0 km,不明,震度１
1947/01/23,00:36:32.7,徳島県南部,33°49.8′N,134°11.2′E,9 km,4.3,震度１
