地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2017/03/27,22:31:07.4,茨城県北部,36°40.7′N,140°35.2′E,10 km,3.1,震度１
2017/03/27,21:08:44.6,茨城県北部,36°41.9′N,140°39.2′E,7 km,2.8,震度１
2017/03/27,20:22:20.5,茨城県北部,36°41.8′N,140°38.9′E,6 km,3.6,震度２
2017/03/27,14:31:47.6,茨城県北部,36°43.0′N,140°37.6′E,7 km,3.8,震度２
2017/03/27,13:45:05.1,岡山県北部,35°19.6′N,133°43.1′E,4 km,2.5,震度１
2017/03/27,13:20:24.4,岡山県北部,35°19.6′N,133°43.0′E,4 km,2.3,震度１
2017/03/27,09:22:45.9,岡山県北部,35°19.7′N,133°43.0′E,5 km,2.5,震度１
2017/03/27,02:56:01.6,熊本県阿蘇地方,32°56.9′N,131°03.4′E,8 km,3.0,震度２
