地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
1992/10/29,23:32:35.6,西表島付近,24°27.0′N,123°44.1′E,3 km,1.2,震度１
1992/10/29,23:07:12.1,十勝沖,41°42.3′N,143°41.2′E,58 km,3.8,震度１
1992/10/29,22:56,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1992/10/29,20:56,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1992/10/29,20:34,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1992/10/29,20:31,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1992/10/29,20:18:31.9,西表島付近,24°29.1′N,123°45.5′E,2 km,不明,震度１
1992/10/29,19:58,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度１
1992/10/29,19:52:02.5,西表島付近,24°24.5′N,123°46.7′E,0 km,不明,震度２
1992/10/29,19:45:13.0,西表島付近,24°24.6′N,123°46.5′E,1 km,不明,震度３
1992/10/29,19:13:03.5,西表島付近,24°26.4′N,123°45.6′E,1 km,1.5,震度２
1992/10/29,17:39:00.1,西表島付近,24°25.8′N,123°45.2′E,3 km,1.4,震度１
1992/10/29,15:56:09.3,日向灘,32°00.7′N,131°52.6′E,39 km,3.6,震度１
1992/10/29,15:09:56.4,西表島付近,24°17.7′N,123°37.0′E,16 km,不明,震度１
1992/10/29,14:56:29.4,西表島付近,24°28.3′N,123°43.1′E,4 km,1.4,震度１
1992/10/29,13:10:44.1,西表島付近,24°28.2′N,123°42.5′E,6 km,1.1,震度１
1992/10/29,09:24,詳細不明,24°23.0′N,123°45.0′E,0 km,不明,震度２
1992/10/29,09:19:50.1,西表島付近,24°30.0′N,123°44.6′E,5 km,1.5,震度１
1992/10/29,07:58:00.9,西表島付近,24°27.6′N,123°43.7′E,8 km,不明,震度２
1992/10/29,07:01:28.4,西表島付近,24°26.2′N,123°43.3′E,2 km,1.5,震度２
1992/10/29,06:26:21.6,西表島付近,24°28.0′N,123°43.5′E,6 km,1.7,震度１
1992/10/29,06:00:06.5,西表島付近,24°20.6′N,123°46.3′E,7 km,不明,震度３
1992/10/29,05:55:27.7,西表島付近,24°20.7′N,123°46.7′E,6 km,1.1,震度１
1992/10/29,03:54:40.0,西表島付近,24°25.6′N,123°46.0′E,3 km,1.5,震度２
