地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2014/05/04,19:01:08.2,日向灘,32°13.6′N,132°08.0′E,21 km,4.1,震度２
2014/05/04,16:33:52.0,岐阜県飛騨地方,36°15.8′N,137°36.1′E,3 km,2.1,震度１
2014/05/04,16:10:55.3,宮城県沖,38°55.2′N,141°55.8′E,51 km,3.9,震度２
2014/05/04,09:26:56.8,岐阜県飛騨地方,36°15.8′N,137°36.3′E,4 km,2.7,震度１
2014/05/04,09:25:39.6,岐阜県飛騨地方,36°15.9′N,137°36.2′E,3 km,2.5,震度１
2014/05/04,09:24:50.9,岐阜県飛騨地方,36°15.7′N,137°36.3′E,3 km,2.9,震度１
2014/05/04,09:22:01.1,岐阜県飛騨地方,36°16.3′N,137°36.1′E,3 km,2.7,震度１
2014/05/04,09:20:59.3,岐阜県飛騨地方,36°16.1′N,137°36.2′E,3 km,3.6,震度３
2014/05/04,05:42:47.9,福島県沖,37°49.7′N,141°29.8′E,60 km,3.6,震度１
