地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/11/28,00:00:49.0,台湾付近,23°53.0′N,121°49.0′E,37 km,2.6,---
2024/11/28,00:01:45.6,福島県会津,37°5.0′N,139°18.0′E,6 km,1.2,---
2024/11/28,00:03:03.4,福島県沖,37°49.0′N,141°37.0′E,50 km,1.6,---
2024/11/28,00:05:21.0,大阪府北部,34°50.0′N,135°28.0′E,9 km,0.6,---
2024/11/28,00:05:52.4,福井県嶺北,35°59.0′N,136°19.0′E,9 km,1.6,---
2024/11/28,00:07:19.3,石川県西方沖,36°58.0′N,136°26.0′E,6 km,1.5,---
2024/11/28,00:07:19.3,宮城県沖,37°57.0′N,141°43.0′E,58 km,1.6,---
2024/11/28,00:10:06.0,石川県西方沖,36°56.0′N,136°26.0′E,10 km,2.4,---
2024/11/28,00:10:45.0,石川県西方沖,36°57.0′N,136°26.0′E,12 km,1.6,---
2024/11/28,00:11:11.7,静岡県西部,34°55.0′N,138°2.0′E,14 km,0.4,---
2024/11/28,00:11:36.6,石川県西方沖,36°57.0′N,136°27.0′E,13 km,1.3,---
2024/11/28,00:12:10.4,三陸沖,38°39.0′N,144°47.0′E,26 km,1.7,---
2024/11/28,00:14:29.4,石川県西方沖,37°4.0′N,136°24.0′E,7 km,1.6,---
2024/11/28,00:15:51.3,青森県東方沖,41°31.0′N,142°5.0′E,53 km,1.3,---
2024/11/28,00:19:22.9,奄美大島近海,28°22.0′N,129°34.0′E,18 km,1.5,---
2024/11/28,00:21:36.7,福島県沖,37°50.0′N,141°37.0′E,49 km,1.9,---
2024/11/28,00:22:13.9,石川県西方沖,36°60.0′N,136°25.0′E,8 km,1.5,---
2024/11/28,00:22:45.1,石川県西方沖,36°59.0′N,136°23.0′E,12 km,1.4,---
2024/11/28,00:23:10.5,石川県西方沖,37°4.0′N,136°24.0′E,7 km,1.6,---
2024/11/28,00:24:23.4,石川県西方沖,37°2.0′N,136°25.0′E,11 km,1.6,---
2024/11/28,00:24:30.3,石川県西方沖,36°56.0′N,136°25.0′E,12 km,3,---
2024/11/28,00:28:12.6,石川県西方沖,36°56.0′N,136°24.0′E,15 km,0.7,---
2024/11/28,00:28:42.4,石川県西方沖,36°57.0′N,136°25.0′E,9 km,1.8,---
2024/11/28,00:29:01.8,空知地方中部,43°38.0′N,141°42.0′E,3 km,1.1,---
2024/11/28,00:30:28.0,石川県西方沖,37°0.0′N,136°24.0′E,8 km,1.8,---
2024/11/28,00:30:52.9,愛知県西部,35°16.0′N,136°43.0′E,18 km,0.5,---
2024/11/28,00:31:39.5,宮城県沖,37°57.0′N,141°54.0′E,39 km,0.8,---
2024/11/28,00:31:51.9,福島県沖,37°50.0′N,141°37.0′E,49 km,2.2,---
2024/11/28,00:32:23.1,台湾付近,24°1.0′N,121°42.0′E,34 km,4.6,---
2024/11/28,00:32:25.6,石川県西方沖,37°3.0′N,136°26.0′E,5 km,1.5,---
2024/11/28,00:32:53.0,石川県西方沖,36°57.0′N,136°26.0′E,13 km,4.3,---
2024/11/28,00:36:35.6,石川県西方沖,36°57.0′N,136°26.0′E,15 km,1.4,---
2024/11/28,00:36:40.1,石川県西方沖,36°56.0′N,136°25.0′E,7 km,1.9,---
2024/11/28,00:37:10.3,石川県西方沖,36°57.0′N,136°25.0′E,14 km,1.6,---
2024/11/28,00:38:33.2,石川県西方沖,36°57.0′N,136°26.0′E,13 km,1.9,---
2024/11/28,00:38:50.7,石川県西方沖,37°3.0′N,136°23.0′E,7 km,3.3,---
2024/11/28,00:39:25.1,静岡県西部,34°55.0′N,138°3.0′E,16 km,0.5,---
2024/11/28,00:39:28.6,石川県西方沖,36°57.0′N,136°26.0′E,17 km,2.1,---
2024/11/28,00:39:46.9,石川県西方沖,36°56.0′N,136°24.0′E,6 km,2.7,---
2024/11/28,00:41:37.0,安芸灘,34°12.0′N,132°49.0′E,23 km,0.8,---
2024/11/28,00:41:55.0,宮古島近海,23°53.0′N,125°38.0′E,0 km,3,---
2024/11/28,00:44:02.4,石川県西方沖,36°57.0′N,136°25.0′E,11 km,2.4,---
2024/11/28,00:45:59.1,石川県西方沖,36°57.0′N,136°24.0′E,12 km,2.8,---
2024/11/28,00:46:54.5,石川県西方沖,36°57.0′N,136°24.0′E,9 km,2.2,---
2024/11/28,00:48:19.9,青森県東方沖,40°31.0′N,142°18.0′E,43 km,1.3,---
2024/11/28,00:48:24.7,千葉県東方沖,35°32.0′N,140°52.0′E,36 km,0.9,---
2024/11/28,00:49:32.7,石川県能登地方,37°10.0′N,136°51.0′E,14 km,1,---
2024/11/28,00:52:19.1,石川県西方沖,36°58.0′N,136°26.0′E,18 km,-1,---
2024/11/28,00:52:22.3,石川県西方沖,37°0.0′N,136°24.0′E,10 km,1.4,---
2024/11/28,00:55:10.4,石川県西方沖,36°57.0′N,136°26.0′E,17 km,-1,---
2024/11/28,00:55:16.6,石川県西方沖,37°3.0′N,136°26.0′E,13 km,-1,---
2024/11/28,00:56:00.1,石川県西方沖,36°58.0′N,136°26.0′E,11 km,2.9,---
2024/11/28,00:58:08.0,陸奥湾,41°2.0′N,141°3.0′E,11 km,0.8,---
2024/11/28,01:01:12.1,石川県西方沖,37°2.0′N,136°23.0′E,9 km,2.1,---
2024/11/28,01:01:47.2,福島県会津,37°5.0′N,139°18.0′E,8 km,1.6,---
2024/11/28,01:01:52.7,石川県西方沖,37°2.0′N,136°26.0′E,9 km,2.2,---
2024/11/28,01:02:36.1,日向灘,32°17.0′N,131°59.0′E,22 km,1,---
2024/11/28,01:03:08.0,四国沖,33°20.0′N,134°37.0′E,13 km,1.5,---
2024/11/28,01:03:30.2,石川県西方沖,36°58.0′N,136°26.0′E,3 km,1.4,---
2024/11/28,01:04:29.6,房総半島南方沖,34°21.0′N,140°36.0′E,29 km,1.6,---
2024/11/28,01:04:43.5,愛知県西部,34°52.0′N,137°3.0′E,35 km,0.4,---
2024/11/28,01:07:03.1,石川県西方沖,37°1.0′N,136°25.0′E,8 km,1.5,---
2024/11/28,01:09:17.4,石川県西方沖,36°58.0′N,136°24.0′E,13 km,1.7,---
2024/11/28,01:10:44.4,日向灘,31°58.0′N,131°32.0′E,42 km,1,---
2024/11/28,01:10:46.8,石川県西方沖,36°59.0′N,136°25.0′E,10 km,1.6,---
2024/11/28,01:12:51.4,石川県西方沖,36°57.0′N,136°26.0′E,5 km,1.7,---
2024/11/28,01:14:08.0,石川県西方沖,36°57.0′N,136°25.0′E,12 km,1.6,---
2024/11/28,01:15:00.3,石垣島近海,23°55.0′N,124°37.0′E,16 km,1.5,---
2024/11/28,01:15:30.2,石川県西方沖,36°57.0′N,136°25.0′E,11 km,1.9,---
2024/11/28,01:15:40.7,石川県西方沖,37°1.0′N,136°25.0′E,17 km,1.9,---
2024/11/28,01:15:59.4,沖縄本島近海,26°49.0′N,127°13.0′E,9 km,1.6,---
2024/11/28,01:16:44.1,石川県西方沖,36°56.0′N,136°25.0′E,11 km,1.5,---
2024/11/28,01:17:32.4,石川県西方沖,37°0.0′N,136°25.0′E,11 km,2.2,---
2024/11/28,01:18:45.2,石川県西方沖,37°0.0′N,136°25.0′E,4 km,1.5,---
2024/11/28,01:20:42.4,群馬県北部,36°41.0′N,139°20.0′E,8 km,0.7,---
2024/11/28,01:23:38.5,長野県南部,35°23.0′N,138°1.0′E,9 km,-1,---
2024/11/28,01:23:52.7,石川県西方沖,36°56.0′N,136°25.0′E,12 km,1.2,---
2024/11/28,01:24:40.9,石川県西方沖,37°0.0′N,136°23.0′E,11 km,2.2,---
2024/11/28,01:25:25.1,石川県西方沖,37°1.0′N,136°24.0′E,12 km,1.8,---
2024/11/28,01:29:41.7,石川県西方沖,37°1.0′N,136°23.0′E,9 km,1.3,---
2024/11/28,01:32:22.3,石川県西方沖,36°57.0′N,136°24.0′E,10 km,2.8,---
2024/11/28,01:35:31.2,石川県西方沖,36°56.0′N,136°23.0′E,11 km,1.6,---
2024/11/28,01:35:41.4,岩手県沖,40°4.0′N,142°5.0′E,35 km,1,---
2024/11/28,01:37:28.4,石川県西方沖,36°58.0′N,136°25.0′E,7 km,1.7,---
2024/11/28,01:38:43.4,石川県西方沖,37°2.0′N,136°26.0′E,3 km,1.4,---
2024/11/28,01:41:09.1,石川県西方沖,37°2.0′N,136°25.0′E,10 km,3.2,---
2024/11/28,01:41:59.9,石川県西方沖,36°59.0′N,136°23.0′E,15 km,2.2,---
2024/11/28,01:43:41.9,天草灘,32°34.0′N,129°56.0′E,12 km,0.6,---
2024/11/28,01:46:45.9,石川県西方沖,36°56.0′N,136°26.0′E,16 km,1.4,---
2024/11/28,01:47:30.9,石川県西方沖,36°57.0′N,136°23.0′E,9 km,1.5,---
2024/11/28,01:51:21.9,福島県沖,37°49.0′N,141°36.0′E,49 km,1.3,---
2024/11/28,01:52:12.4,石川県西方沖,36°55.0′N,136°25.0′E,15 km,1.2,---
2024/11/28,01:53:13.4,福島県沖,37°44.0′N,144°29.0′E,28 km,1.9,---
2024/11/28,01:56:44.7,石川県西方沖,36°56.0′N,136°26.0′E,11 km,1.5,---
2024/11/28,02:02:48.9,石川県西方沖,37°0.0′N,136°25.0′E,5 km,1.6,---
2024/11/28,02:03:48.3,石川県西方沖,37°2.0′N,136°26.0′E,11 km,1.8,---
2024/11/28,02:06:50.7,茨城県沖,36°47.0′N,141°22.0′E,7 km,1.7,---
2024/11/28,02:07:44.4,岐阜県飛騨地方,36°1.0′N,137°35.0′E,5 km,0,---
2024/11/28,02:07:52.0,宮城県沖,38°25.0′N,142°35.0′E,22 km,1.1,---
2024/11/28,02:14:11.4,石川県西方沖,37°2.0′N,136°23.0′E,10 km,3.4,---
2024/11/28,02:17:34.8,石川県西方沖,37°3.0′N,136°26.0′E,5 km,2.7,---
2024/11/28,02:17:47.6,愛媛県中予,33°35.0′N,133°4.0′E,34 km,0.4,---
2024/11/28,02:24:50.8,石川県西方沖,36°57.0′N,136°25.0′E,10 km,1.3,---
2024/11/28,02:25:41.7,石川県西方沖,36°58.0′N,136°26.0′E,10 km,1.5,---
2024/11/28,02:27:48.7,石川県西方沖,36°56.0′N,136°25.0′E,8 km,1.9,---
2024/11/28,02:28:42.7,沖縄本島近海,26°48.0′N,127°14.0′E,13 km,1.4,---
2024/11/28,02:28:51.9,石川県西方沖,36°59.0′N,136°24.0′E,10 km,1.3,---
2024/11/28,02:29:34.2,宮崎県北部平野部,32°34.0′N,131°37.0′E,15 km,0.4,---
2024/11/28,02:30:59.1,石川県西方沖,36°56.0′N,136°25.0′E,10 km,1.4,---
2024/11/28,02:34:40.4,茨城県北部,36°47.0′N,140°34.0′E,9 km,0.7,---
